"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","MEASURE error","Operational"
"0","243.32083017326966","352.37239393559145","0.0052490234375","0.005126953125","0.00537109375","2584","0.00019024399269085244","32","0.00019024399269085244","0","0.00019024399269085244","0.00019024399269085244","1:0.0010835990006349272","1:68","1:0.0009425363235407713","0.0052490234375","Yes"
"1","193.07315873323924","252.9577921536253","0.0069580078125","0.008056640625","0.005859375","2584","0.00012954932163789103","32","0.00012954932163789103","0","0.00012954932163789103","0.00012954932163789103","2:0.014424833936042158;0:0.0010835990006349272","2:68;0:68","2:0.00832639997263973;0:0.0009425363235407713","0.0069580078125","Yes"
"2","33.33491906341659","59.767508208870545","0.11865234375","0.162841796875","0.074462890625","2584","0.0021334285525518386","32","0.0021334285525518386","0","0.0021334285525518386","0.0021334285525518386","1:0.014424833936042158;3:0.006770485695891892","1:68;3:68","1:0.00832639997263973;3:0.005934794385231951","0.11865234375","Yes"
"3","215.62880909874016","239.90860778322366","0.006591796875","0.00732421875","0.005859375","2584","0.00007676541932478808","32","0.00007676541932478808","0","0.00007676541932478808","0.00007676541932478808","16:0.0014942022722314596;2:0.006770485695891892;4:0.001215260068774482","16:68;2:68;4:68","16:0.0011472936524652977;2:0.005934794385231951;4:0.0010068809005200074","0.006591796875","Yes"
"4","183.3621078671385","216.56506928803955","0.0074462890625","0.009033203125","0.005859375","2584","0.00007943651635474987","32","0.00007943651635474987","0","0.00007943651635474987","0.00007943651635474987","3:0.001215260068774482;5:0.001176050078190688","3:68;5:68","3:0.0010068809005200074;5:0.0011205450529055694","0.0074462890625","Yes"
"5","209.80670388662887","204.25131004193827","0.0054931640625","0.00537109375","0.005615234375","2584","0.00014347700577371978","32","0.00014347700577371978","0","0.00014347700577371978","0.00014347700577371978","6:0.010516112440413394;4:0.001176050078190688","6:68;4:68","6:0.004911028489740815;4:0.0011205450529055694","0.0054931640625","Yes"
"6","145.78333322781216","132.89894503223627","0.0052490234375","0.00732421875","0.003173828125","2584","0.00014883516447103173","32","0.00014883516447103173","0","0.00014883516447103173","0.00014883516447103173","5:0.010516112440413394;7:0.008866314515151685","5:68;7:68","5:0.004911028489740815;7:0.0020691359164962397","0.0052490234375","Yes"
"7","234.19271245494733","199.81249691108263","0.0032958984375","0.00537109375","0.001220703125","2584","0.00013390383683417687","32","0.00013390383683417687","0","0.00013390383683417687","0.00013390383683417687","17:0.0012446434738452306;6:0.008866314515151685;8:0.002028558145352799","17:68;6:68;8:68","17:0.0014577919747484347;6:0.0020691359164962397;8:0.001999633033738568","0.0032958984375","Yes"
"8","202.32409841073726","297.7180219690194","0.0037841796875","0.0048828125","0.002685546875","2584","0.00012949177975035123","32","0.00012949177975035123","0","0.00012949177975035123","0.00012949177975035123","9:0.004894650679769519;7:0.002028558145352799","9:68;7:68","9:0.003021757059668978;7:0.001999633033738568","0.0037841796875","Yes"
"9","277.21481438257973","247.9469748356534","0.0052490234375","0.003662109375","0.0068359375","2584","0.00018146217962249759","32","0.00018146217962249759","0","0.00018146217962249759","0.00018146217962249759","8:0.004894650679769519;10:0.001535442194853548","8:68;10:68","8:0.003021757059668978;10:0.0011466608273825452","0.0052490234375","Yes"
"10","205.87197215508075","208.3704599614426","0.00390625","0.00830078125","0.0029296875","2584","0.00021113238989914015","32","0.00021113238989914015","0","0.00021113238989914015","0.00021113238989914015","9:0.001535442194853548;11:0.00321970434558308","9:68;11:68","9:0.0011466608273825452;11:0.0028970272152903653","0.00390625","Yes"
"11","258.1127477076584","208.7812511852602","0.004150390625","0.0048828125","0.00341796875","2584","0.00017440208983415743","32","0.00017440208983415743","0","0.00017440208983415743","0.00017440208983415743","18:0.003778921541100433;10:0.00321970434558308;12:0.005817899571020413","18:68;10:68;12:68","18:0.0017327845112862228;10:0.0028970272152903653;12:0.005661785915332229","0.004150390625","Yes"
"12","222.91047925055344","237.77775014570122","0.00830078125","0.0048828125","0.01171875","2584","0.0003947074330377983","32","0.0003947074330377983","0","0.0003947074330377983","0.0003947074330377983","13:0.0017908884420824722;11:0.005817899571020413","13:68;11:68","13:0.0010945453758365309;11:0.005661785915332229","0.00830078125","Yes"
"13","256.52673549350493","285.05384702379837","0.01171875","0.0068359375","0.0166015625","2584","0.0005130904046876376","32","0.0005130904046876376","0","0.0005130904046876376","0.0005130904046876376","12:0.0017908884420824722;14:0.0011366040169236424","12:68;14:68","12:0.0010945453758365309;14:0.0012517749476353979","0.01171875","Yes"
"14","280.0843887288001","284.32105701696446","0.004638671875","0.00537109375","0.00390625","2584","0.00014721213679960105","32","0.00014721213679960105","0","0.00014721213679960105","0.00014721213679960105","15:0.0012479413916702264;13:0.0011366040169236424","15:68;13:68","15:0.0018253025408578316;13:0.0012517749476353979","0.004638671875","Yes"
"15","169.18396504738251","130.57879670118936","0.0074462890625","0.0107421875","0.004150390625","2584","0.0002147829696407051","32","0.0002147829696407051","0","0.0002147829696407051","0.0002147829696407051","14:0.0012479413916702264;19:0.04060966507584418","14:68;19:68","14:0.0018253025408578316;19:0.04629099171265408","0.0074462890625","Yes"
"16","255.09552634980506","405.6801931391852","0.0079345703125","0.008056640625","0.0078125","2584","0.00009493867679318984","32","0.00009493867679318984","0","0.00009493867679318984","0.00009493867679318984","23:0.0008612623753014303;3:0.0014942022722314596","23:68;3:68","23:0.001007162251132232;3:0.0011472936524652977","0.0079345703125","Yes"
"17","240.62557136586267","249.93865348724398","0.0098876953125","0.00830078125","0.011474609375","2584","0.00018979744637931064","32","0.00018979744637931064","0","0.00018979744637931064","0.00018979744637931064","7:0.0012446434738452306;27:0.00384947086417059","7:68;27:68","7:0.0014577919747484347;27:0.003411417233800923","0.0098876953125","Yes"
"18","271.6612610855741","215.1422013170162","0.01123046875","0.015380859375","0.007080078125","2584","0.0001931613471272317","32","0.0001931613471272317","0","0.0001931613471272317","0.0001931613471272317","11:0.003778921541100433;31:0.001386255277581877","11:68;31:68","11:0.0017327845112862228;31:0.0018537651382350695","0.01123046875","Yes"
"19","35.009640895694595","74.62665178773774","0.1673583984375","0.3115234375","0.023193359375","2584","","32","","0","","","15:0.04060966507584418","35:68;15:68","15:0.04629099171265408","0.1673583984375","Yes"
"20","257.06054795408414","418.0520075034268","0.0035400390625","0.00341796875","0.003662109375","2584","0.00014184693044488493","32","0.00014184693044488493","0","0.00014184693044488493","0.00014184693044488493","21:0.0020985633248262747","21:68","21:0.001443826295034839","0.0035400390625","Yes"
"21","241.45308731710074","297.7903739014001","0.00537109375","0.008056640625","0.002685546875","2584","0.00021544520395188303","32","0.00021544520395188303","0","0.00021544520395188303","0.00021544520395188303","36:0.0012048923979974258;20:0.0020985633248262747;22:0.0019627053682973183","36:68;20:68;22:68","36:0.0017976770723301672;20:0.001443826295034839;22:0.0015998803358462377","0.00537109375","Yes"
"22","144.45804765223033","234.56949153893115","0.0179443359375","0.03173828125","0.004150390625","2584","0.0005342464101726197","32","0.0005342464101726197","0","0.0005342464101726197","0.0005342464101726197","23:0.0024928258781174994;21:0.0019627053682973183","23:68;21:68","23:0.002029661320546078;21:0.0015998803358462377","0.0179443359375","Yes"
"23","292.7094485635164","331.83360529589083","0.0023193359375","0.003173828125","0.00146484375","2584","0.00017207659970356142","32","0.00017207659970356142","0","0.00017207659970356142","0.00017207659970356142","22:0.0024928258781174994;24:0.0014106495082595039;16:0.0008612623753014303","22:68;24:68;16:68","22:0.002029661320546078;24:0.001279196686206574;16:0.001007162251132232","0.0023193359375","Yes"
"24","234.66087841606296","329.0395803449399","0.0035400390625","0.005126953125","0.001953125","2584","0.00014639664940136637","32","0.00014639664940136637","0","0.00014639664940136637","0.00014639664940136637","23:0.0014106495082595039;25:0.0009646690689723292","23:68;25:68","23:0.001279196686206574;25:0.0008824959879647487","0.0035400390625","Yes"
"25","300.4877790915314","292.0722362748488","0.0081787109375","0.004150390625","0.01220703125","2584","0.00010653516533681265","32","0.00010653516533681265","0","0.00010653516533681265","0.00010653516533681265","24:0.0009646690689723292;26:0.0008383976241704005;37:0.0052895956460448645","24:68;26:68;37:68","24:0.0008824959879647487;26:0.0007708548248818448;37:0.004798569973129635","0.0081787109375","Yes"
"26","228.18951310564148","284.4707008526299","0.005859375","0.00830078125","0.00341796875","2584","0.0001924217089597995","32","0.0001924217089597995","0","0.0001924217089597995","0.0001924217089597995","25:0.0008383976241704005;27:0.0011281757210738208","25:68;27:68","25:0.0007708548248818448;27:0.0012173026745208593","0.005859375","Yes"
"27","271.47349465387583","274.6941738860235","0.0037841796875","0.0029296875","0.001953125","2584","0.00012321319084012604","32","0.00012321319084012604","0","0.00012321319084012604","0.00012321319084012604","26:0.0011281757210738208;28:0.0013874883853875752;17:0.00384947086417059","26:68;28:68;17:68","26:0.0012173026745208593;28:0.0013388811260825195;17:0.003411417233800923","0.0037841796875","Yes"
"28","193.30916869931778","230.84941358656863","0.01025390625","0.01904296875","0.00146484375","2584","0.0002852100891236341","32","0.0002852100891236341","0","0.0002852100891236341","0.0002852100891236341","27:0.0013874883853875752;29:0.0020814689716123214","27:68;29:68","27:0.0013388811260825195;29:0.0023316145078375317","0.01025390625","Yes"
"29","213.37246376292066","134.79920968258588","0.0103759765625","0.009033203125","0.01171875","2584","0.0002395982783621672","32","0.0002395982783621672","0","0.0002395982783621672","0.0002395982783621672","38:0.0020522893675524734;28:0.0020814689716123214;30:0.10576274677992259","38:68;28:68;30:68","38:0.0016506287110829299;28:0.0023316145078375317","0.0103759765625","Yes"
"30","180.08139135341702","127.23529460435134","0.0037841796875","0.004638671875","0.0029296875","2584","0.0005385855267145101","32","0.0005385855267145101","0","0.0005385855267145101","0.0005385855267145101","31:0.0016083332802246941;29:0.10576274677992259","31:68;29:68","31:0.0018651637270355736","0.0037841796875","Yes"
