"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","MEASURE error","Operational"
"0","178.81300639781585","219.35279466821657","0.0108642578125","0.01123046875","0.010498046875","2400","0.00023159218870136365","32","0.00023159218870136365","0","0.00023159218870136365","0.00023159218870136365","1:0.005847657713259208","1:68;10:68","0.0108642578125","Yes"
"1","124.46103013686346","218.60826367083553","0.009521484375","0.01171875","0.00732421875","2400","0.00020254753895287609","32","0.00020254753895287609","0","0.00020254753895287609","0.00020254753895287609","2:0.002005712961275913;0:0.005847657713259208","2:68;11:68;0:68","0.009521484375","Yes"
"2","325.7889684384715","481.8419206946567","0.010986328125","0.014892578125","0.007080078125","2400","0.0002221294500092415","32","0.0002221294500092415","0","0.0002221294500092415","0.0002221294500092415","1:0.002005712961275913;3:0.001146463528899161;12:0.0013495079133147847","1:68;3:68;12:68","0.010986328125","Yes"
"3","336.7095414617383","405.61764482491117","0.017333984375","0.0234375","0.011962890625","2400","0.0002198841768539656","32","0.0002198841768539656","0","0.0002198841768539656","0.0002198841768539656","2:0.001146463528899161;4:0.0023930997402373255","13:68;2:68;4:168","0.017333984375","Yes"
"4","385.06318087205415","299.4115460493702","0.0111083984375","0.01318359375","0.009033203125","2400","0.00028687043787822575","32","0.00028687043787822575","0","0.00028687043787822575","0.00028687043787822575","3:0.0023930997402373255;5:0.001261384691718881;14:0.0019488888703674823","3:168;5:68;14:68","0.0111083984375","Yes"
"5","284.170647468569","301.4314650830493","0.012939453125","0.016845703125","0.009033203125","2400","0.000080329494430803","32","0.000080329494430803","0","0.000080329494430803","0.000080329494430803","6:0.001258585311765953;4:0.001261384691718881;15:0.0016267655251045177","6:88;4:68;15:68","0.012939453125","Yes"
"6","261.3135746907623","137.4607794305122","0.0089111328125","0.01220703125","0.005615234375","2400","0.00019272043889173297","32","0.00019272043889173297","0","0.00019272043889173297","0.00019272043889173297","5:0.001258585311765953;7:0.0021078154579384223;16:0.0018506876312095188","5:88;7:68;16:68","0.0089111328125","Yes"
"7","397.3418043789232","360.5305154120847","0.0164794921875","0.017333984375","0.015625","2400","0.00023454906052863185","32","0.00023454906052863185","0","0.00023454906052863185","0.00023454906052863185","17:0.001277178283328656;6:0.0021078154579384223;8:0.0029174909193168397","17:68;6:68;8:68","0.0164794921875","Yes"
"8","375.92378035051127","393.77533157597134","0.012451171875","0.01513671875","0.009765625","2400","0.0002954932602355124","32","0.0002954932602355124","0","0.0002954932602355124","0.0002954932602355124","9:0.002519732344957476;18:0.002408892253000755;7:0.0029174909193168397","9:68;18:68;7:68","0.012451171875","Yes"
"9","434.2114390554357","464.03197555276745","0.0103759765625","0.00927734375","0.011474609375","2400","0.00021571895651365495","32","0.00021571895651365495","0","0.00021571895651365495","0.00021571895651365495","8:0.002519732344957476;19:0.0034917639065457085","8:68;19:68","0.0103759765625","Yes"
"10","465.00466053884463","516.6314085664457","0.0113525390625","0.0107421875","0.011962890625","2400","0.00012585107238462419","32","0.00012585107238462419","0","0.00012585107238462419","0.00012585107238462419","","20:68;11:68;0:68","0.0113525390625","Yes"
"11","414.8599241792711","438.97808173830055","0.010986328125","0.010498046875","0.011474609375","2400","0.00012089445350934882","32","0.00012089445350934882","0","0.00012089445350934882","0.00012089445350934882","21:0.001060931242637203","1:68;10:68;12:68;21:68","0.010986328125","Yes"
"12","376.6742333595661","455.2422697554318","0.0174560546875","0.016357421875","0.0185546875","2400","0.00016881537525520338","32","0.00016881537525520338","0","0.00016881537525520338","0.00016881537525520338","13:0.0009332424465465228;22:0.0011632868190049883;2:0.0013495079133147847","13:68;22:68;2:68;11:68","0.0174560546875","Yes"
"13","548.2752512436025","408.06248804163687","0.01025390625","0.010498046875","0.010009765625","2400","0.0001647545887911092","32","0.0001647545887911092","0","0.0001647545887911092","0.0001647545887911092","12:0.0009332424465465228;14:0.0014766374464215415;23:0.0007821366014870157","3:68;12:68;14:88;23:68","0.01025390625","Yes"
"14","243.6286000523342","270.5043968750734","0.00439453125","0.006103515625","0.002685546875","2400","0.0002883418169394408","32","0.0002883418169394408","0","0.0002883418169394408","0.0002883418169394408","15:0.0012778521827306877;24:0.004933965824475223;13:0.0014766374464215415;4:0.0019488888703674823","15:108;24:68;13:88;4:68","0.00439453125","Yes"
"15","341.32447149892187","226.95736615348576","0.011962890625","0.016845703125","0.007080078125","2400","0.00017374855642201222","32","0.00017374855642201222","0","0.00017374855642201222","0.00017374855642201222","14:0.0012778521827306877;16:0.001438227667816594;25:0.0014617514515318786;5:0.0016267655251045177","14:108;16:68;25:68;5:68","0.011962890625","Yes"
"16","412.59507180597524","206.8029580857082","0.0201416015625","0.019287109375","0.02099609375","2400","0.00007631541381447102","32","0.00007631541381447102","0","0.00007631541381447102","0.00007631541381447102","15:0.001438227667816594;17:0.0013969064147082433;26:0.0014132542029774986;6:0.0018506876312095188","15:68;17:68;26:68;6:68","0.0201416015625","Yes"
"17","221.118953268501","152.95026611935737","0.0106201171875","0.01220703125","0.009033203125","2400","0.00014601382125164794","32","0.00014601382125164794","0","0.00014601382125164794","0.00014601382125164794","7:0.001277178283328656;16:0.0013969064147082433;18:0.0019688490545287374;27:0.0019629450204363685","7:68;16:68;18:108;27:68","0.0106201171875","Yes"
"18","331.19510874853773","338.7883501591598","0.0103759765625","0.010498046875","0.01025390625","2400","0.00013068150272725187","32","0.00013068150272725187","0","0.00013068150272725187","0.00013068150272725187","8:0.002408892253000755;28:0.0013462850038647167;17:0.0019688490545287374","8:68;19:68;28:68;17:108","0.0103759765625","Yes"
"19","364.82306292767765","492.65225122533093","0.0147705078125","0.01904296875","0.010498046875","2400","0.00009604869052812491","32","0.00009604869052812491","0","0.00009604869052812491","0.00009604869052812491","9:0.0034917639065457085;29:0.0024676239729789773","18:68;9:68;29:68","0.0147705078125","Yes"
"20","359.55863380360074","486.86088628589715","0.0103759765625","0.009765625","0.00634765625","2400","0.00017051841991099647","32","0.00017051841991099647","0","0.00017051841991099647","0.00017051841991099647","21:0.0014541589375274555;30:0.01577764014420785","10:68;21:68;30:68","0.0103759765625","Yes"
"21","287.97676882488946","439.14694407702933","0.0113525390625","0.01513671875","0.007568359375","2400","0.00017447138575356545","32","0.00017447138575356545","0","0.00017447138575356545","0.00017447138575356545","20:0.0014541589375274555;22:0.01564842207439751;31:0.001586948832349222;11:0.001060931242637203","20:68;22:68;31:68;11:68","0.0113525390625","Yes"
"22","400.26508158725824","446.47439730579424","0.0380859375","0.066162109375","0.010009765625","2400","0.0002586889965978389","32","0.0002586889965978389","0","0.0002586889965978389","0.0002586889965978389","23:0.06583328108497441;12:0.0011632868190049883;32:0.0026579698160533183;21:0.01564842207439751","23:108;12:68;32:68;21:68","0.0380859375","Yes"
"23","326.7728858158393","367.79433792188917","0.014892578125","0.018798828125","0.010986328125","2400","0.00020886068614208345","32","0.00020886068614208345","0","0.00020886068614208345","0.00020886068614208345","22:0.06583328108497441;13:0.0007821366014870157;24:0.0010688185573454745;33:0.0015965410562231719","22:108;13:68;24:68;33:68","0.014892578125","Yes"
"24","449.29913800350454","321.6811700043532","0.0247802734375","0.0390625","0.010498046875","2400","0.0001202980629909082","32","0.0001202980629909082","0","0.0001202980629909082","0.0001202980629909082","14:0.004933965824475223;23:0.0010688185573454745;25:0.0012929419131674502;34:0.0017229784302390527","14:68;23:68;25:68;34:68","0.0247802734375","Yes"
"25","479.0392669238137","201.73457264276863","0.0216064453125","0.0283203125","0.014892578125","2400","0.00013755628415724092","32","0.00013755628415724092","0","0.00013755628415724092","0.00013755628415724092","15:0.0014617514515318786;24:0.0012929419131674502;35:0.0017233855171784607","15:68;24:68;26:68;35:68","0.0216064453125","Yes"
"26","381.47165939054946","224.68605739761784","0.0235595703125","0.037109375","0.010009765625","2400","0.00021056472080038636","32","0.00021056472080038636","0","0.00021056472080038636","0.00021056472080038636","16:0.0014132542029774986;27:0.0018604387903199404;36:0.002588211734083301","16:68;25:68;27:68;36:68","0.0235595703125","Yes"
"27","220.54540957924397","227.52326323301978","0.0125732421875","0.016357421875","0.0087890625","2400","0.00011868901970430992","32","0.00011868901970430992","0","0.00011868901970430992","0.00011868901970430992","26:0.0018604387903199404;28:0.000967852270109093;17:0.0019629450204363685;37:0.0032348983799811437","26:68;28:68;17:68;37:108","0.0125732421875","Yes"
"28","282.2743455344209","197.84638789487218","0.0120849609375","0.013916015625","0.01025390625","2400","0.00013989047387198282","32","0.00013989047387198282","0","0.00013989047387198282","0.00013989047387198282","18:0.0013462850038647167;27:0.000967852270109093;29:0.004004967164024237","18:68;27:68;29:68;38:108","0.0120849609375","Yes"
"29","185.63875372563183","199.27112377924414","0.0189208984375","0.011474609375","0.0263671875","2400","0.0002733783091671394","32","0.0002733783091671394","0","0.0002733783091671394","0.0002733783091671394","19:0.0024676239729789773;28:0.004004967164024237;39:0.01383494133912555","19:68;28:68;39:88","0.0189208984375","Yes"
"30","226.14152029411653","311.26083688351565","0.0137939453125","0.015380859375","0.01220703125","2400","0.00016422208898415726","32","0.00016422208898415726","0","0.00016422208898415726","0.00016422208898415726","20:0.01577764014420785;31:0.0015364143989197998;40:0.0021895918174161255","20:68;31:88;40:68","0.0137939453125","Yes"
