"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","MEASURE error","MEASURE_2 error","Operational"
"0","203.61699738774934","227.4414644405064","0.0035400390625","0.00341796875","0.003662109375","2200","0.00019798657751391043","32","0.00019798657751391043","0","0.00019798657751391043","0.00019798657751391043","1:0.001010101064633867","1:68","1:0.0007830158901988571","0.0035400390625","0.001220703125","Yes"
"1","103.24316734991541","131.41843744332596","0.0050048828125","0.005859375","0.004150390625","2200","0.00016642661680921163","32","0.00016642661680921163","0","0.00016642661680921163","0.00016642661680921163","2:0.011344621096790325;0:0.001010101064633867","2:68;0:68","2:0.006707121486077938;0:0.0007830158901988571","0.0050048828125","0.0048828125","Yes"
"2","16.759976594664963","29.303362237189745","0.0181884765625","0.033447265625","0.0029296875","2200","0.0008680543836919288","32","0.0008680543836919288","0","0.0008680543836919288","0.0008680543836919288","1:0.011344621096790325;3:0.0090287701951684","1:68;3:88","1:0.006707121486077938;3:0.008195078187213434","0.0181884765625","0.009765625","Yes"
"3","286.3662023998504","418.06196333805286","0.002685546875","0.0029296875","0.00244140625","2200","0.00017170924352974753","32","0.00017170924352974753","0","0.00017170924352974753","0.00017170924352974753","16:0.0015239581636232458;2:0.0090287701951684;4:0.0008676288845404778","16:68;2:88;4:68","16:0.0012060860463414258;2:0.008195078187213434;4:0.0007057760169384142","0.002685546875","0.001708984375","Yes"
"4","237.83360114302806","307.1221921466269","0.0040283203125","0.00390625","0.004150390625","2200","0.00011449761050148143","32","0.00011449761050148143","0","0.00011449761050148143","0.00011449761050148143","3:0.0008676288845404778;5:0.01362687550462785","3:68;5:68","3:0.0007057760169384142;5:0.007942181841096269","0.0040283203125","0.00390625","Yes"
"5","307.31432888809394","426.6575755904922","0.005615234375","0.005859375","0.00537109375","2200","0.015580538416159034","32","0.015580538416159034","0","0.015580538416159034","0.015580538416159034","6:0.010788572669536506;4:0.01362687550462785","6:68;4:68","6:0.009002554635557686;4:0.007942181841096269","0.005615234375","0.005615234375","Yes"
"6","232.52331410657845","326.03125547942506","0.0081787109375","0.01416015625","0.002197265625","2200","0.0002222463384247159","32","0.0002222463384247159","0","0.0002222463384247159","0.0002222463384247159","5:0.010788572669536506;7:0.00155606412495643","5:68;7:68","5:0.009002554635557686;7:0.0007931535050518523","0.0081787109375","0.002685546875","Yes"
"7","170.30534579368847","214.3061808860297","0.0048828125","0.007080078125","0.002685546875","2200","0.00019827644891853643","32","0.00019827644891853643","0","0.00019827644891853643","0.00019827644891853643","17:0.0012311627839122208;6:0.00155606412495643;8:0.001409198960038549","17:68;6:68;8:68","17:0.0009161589593266739;6:0.0007931535050518523;8:0.0014277484319278055","0.0048828125","0.004150390625","Yes"
"8","112.62802383695029","170.11395249259738","0.0059814453125","0.0087890625","0.003173828125","2200","0.0003666151779492067","32","0.0003666151779492067","0","0.0003666151779492067","0.0003666151779492067","9:0.0028659605614713146;7:0.001409198960038549","9:68;7:68","9:0.0029114584934437637;7:0.0014277484319278055","0.0059814453125","0.006103515625","Yes"
"9","73.1711373016104","105.74039867554814","0.0081787109375","0.015869140625","0.00048828125","2200","0.00048217565813703114","32","0.00048217565813703114","0","0.00048217565813703114","0.00048217565813703114","8:0.0028659605614713146;10:0.00947395443316576","8:68;10:68","8:0.0029114584934437637;10:0.00869883764621815","0.0081787109375","0.003173828125","Yes"
"10","205.33785992222008","200.74049411321909","0.0352783203125","0.06005859375","0.009765625","2200","0.0007505815111544702","32","0.0007505815111544702","0","0.0007505815111544702","0.0007505815111544702","9:0.00947395443316576;11:0.0036606907310640924","9:68;11:68","9:0.00869883764621815;11:0.004675460660914149","0.0352783203125","0.007080078125","Yes"
"11","340.69436805986004","288.9191303034971","0.0050048828125","0.008544921875","0.00146484375","2200","0.0005364120316263994","32","0.0005364120316263994","0","0.0005364120316263994","0.0005364120316263994","18:0.0011151748181989773;10:0.0036606907310640924;12:0.006516266340721499","18:68;10:68;12:68","18:0.002142477206838189;10:0.004675460660914149;12:0.0044067149656017435","0.0050048828125","0.002197265625","Yes"
"12","269.2143361791942","391.5247958805257","0.0018310546875","0.002197265625","0.00146484375","2200","0.00019134021351089483","32","0.00019134021351089483","0","0.00019134021351089483","0.00019134021351089483","13:0.0011891383095157526;11:0.006516266340721499","13:68;11:68","13:0.0009949994831201514;11:0.0044067149656017435","0.0018310546875","0.002197265625","Yes"
"13","329.9829219845696","475.56004417637075","0.0098876953125","0.015869140625","0.00390625","2200","0.00027453296229515683","32","0.00027453296229515683","0","0.00027453296229515683","0.00027453296229515683","12:0.0011891383095157526;14:0.0009534390946120685","12:68;14:68","12:0.0009949994831201514;14:0.0008560218220260152","0.0098876953125","0.008056640625","Yes"
"14","237.80946200330203","411.93525109883717","0.0023193359375","0.00439453125","0.000244140625","2200","0.00015711485801254453","32","0.00015711485801254453","0","0.00015711485801254453","0.00015711485801254453","15:0.0006949040970632148;13:0.0009534390946120685","15:68;13:68","15:0.000768708998304668;13:0.0008560218220260152","0.0023193359375","0.00244140625","Yes"
"15","240.84250413799995","461.7113015674631","0.003662109375","0.005859375","0.00146484375","2200","0.0001060356985729994","32","0.0001060356985729994","0","0.0001060356985729994","0.0001060356985729994","14:0.0006949040970632148;19:0.0009763853411380308","14:68;19:68","14:0.000768708998304668;19:0.0010231620258027152","0.003662109375","0.005859375","Yes"
"16","289.88362718360156","430.5507818567914","0.00439453125","0.003173828125","0.005615234375","2200","0.00011446719678918065","32","0.00011446719678918065","0","0.00011446719678918065","0.00011446719678918065","23:0.0013634154543632482;3:0.0015239581636232458","23:68;3:68","23:0.0011201570202763744;3:0.0012060860463414258","0.00439453125","0.009033203125","Yes"
"17","107.83049988579396","132.78056090842142","0.0123291015625","0.015869140625","0.0087890625","2200","0.0002044829352776577","32","0.0002044829352776577","0","0.0002044829352776577","0.0002044829352776577","7:0.0012311627839122208;27:0.002107240271780303","7:68;27:68","7:0.0009161589593266739;27:0.0020218315402849296","0.0123291015625","0.0068359375","Yes"
"18","305.30223999662763","288.52451417768805","0.0040283203125","0.00634765625","0.001708984375","2200","0.00013343020030658382","32","0.00013343020030658382","0","0.00013343020030658382","0.00013343020030658382","11:0.0011151748181989773;31:0.0007105969023918357","11:68;31:68","11:0.002142477206838189;31:0.0021964372531486365","0.0040283203125","0.0009765625","Yes"
"19","314.35932381622933","633.7407128175856","0.00390625","0.00439453125","0.00341796875","2200","0.0000885002767526796","32","0.0000885002767526796","0","0.0000885002767526796","0.0000885002767526796","35:0.000962909731531264;15:0.0009763853411380308","35:68;15:68","35:0.0011230285204458512;15:0.0010231620258027152","0.00390625","0.00927734375","Yes"
"20","307.81846421812867","476.57572836669164","0.0040283203125","0.00341796875","0.004638671875","2200","0.0001331323486764643","32","0.0001331323486764643","0","0.0001331323486764643","0.0001331323486764643","21:0.0009245666473851055","21:68","21:0.0012169667812813867","0.0040283203125","0.002685546875","Yes"
"21","373.30630841318174","348.0923321489157","0.009521484375","0.009765625","0.00927734375","2200","0.00014234475975963347","32","0.00014234475975963347","0","0.00014234475975963347","0.00014234475975963347","36:0.001109313346159324;20:0.0009245666473851055;22:0.000986860963448799","36:68;20:68;22:68","36:0.0011359466440185317;20:0.0012169667812813867;22:0.0009721198850079771","0.009521484375","0.0068359375","Yes"
"22","292.6354226322095","363.4640927034574","0.002685546875","0.0048828125","0.00048828125","2200","0.0001158377038459023","32","0.0001158377038459023","0","0.0001158377038459023","0.0001158377038459023","23:0.0008512883013324368;21:0.000986860963448799","23:68;21:68","23:0.0009946941751102778;21:0.0009721198850079771","0.002685546875","0.0029296875","Yes"
"23","372.16234859039986","583.466786669601","0.002685546875","0.004150390625","0.001220703125","2200","0.00008570542546259856","32","0.00008570542546259856","0","0.00008570542546259856","0.00008570542546259856","22:0.0008512883013324368;24:0.0008538796847978314;16:0.0013634154543632482","22:68;24:68;16:68","22:0.0009946941751102778;24:0.0011822198464657152;16:0.0011201570202763744","0.002685546875","0.00341796875","Yes"
"24","245.14784978957192","305.67304470320164","0.00390625","0.005126953125","0.002685546875","2200","0.00012185538627704527","32","0.00012185538627704527","0","0.00012185538627704527","0.00012185538627704527","23:0.0008538796847978314;25:0.001469454071099635","23:68;25:68","23:0.0011822198464657152;25:0.0011616856696664568","0.00390625","0.001953125","Yes"
"25","338.4850071266416","81.7134204209256","0.0185546875","0.014892578125","0.022216796875","2200","0.0001676861857751122","32","0.0001676861857751122","0","0.0001676861857751122","0.0001676861857751122","24:0.001469454071099635;26:0.0010250839151498825;37:0.000809085580707275","24:68;26:68;37:68","24:0.0011616856696664568;26:0.0010841140970327956;37:0.0011027747961725454","0.0185546875","0.00830078125","Yes"
