"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","ECR error","Gate length (ns)","MEASURE error","Operational"
"0","336.7509112662922","55.86222722593388","4.898152082231756","-0.30830037970047425","0.0185546875","0.013916015625","0.023193359375","1500","0.00016402585782168547","60","0","0.00016402585782168547","0.00016402585782168547","1:0.005232983220519821","1:660","0.0185546875","Yes"
"1","308.25713857862075","225.70199887758415","4.838694300443813","","0.0179443359375","0.02001953125","0.015869140625","1500","0.00015993385313607734","60","0","0.00015993385313607734","0.00015993385313607734","2:0.004474685547214363","2:660","0.0179443359375","Yes"
"2","205.0870109252123","132.15927082933132","4.654845686036318","-0.3118878799709304","0.0196533203125","0.01123046875","0.0244140625","1500","0.00018792930687694956","60","0","0.00018792930687694956","0.00018792930687694956","3:0.00965139372531193","3:660","0.0196533203125","Yes"
"3","317.99872220646495","247.70094013666773","4.855691810410459","-0.30925864887979854","0.0135498046875","0.01611328125","0.010986328125","1500","0.00033667105686207785","60","0","0.00033667105686207785","0.00033667105686207785","","","0.0135498046875","Yes"
"4","229.3116796064979","205.9290499459512","4.9093000445807276","-0.30814930861447104","0.021484375","0.017333984375","0.025634765625","1500","0.00012952283181950818","60","0","0.00012952283181950818","0.00012952283181950818","15:0.005967139244029612;3:0.006797950673957054","15:660;3:660","0.021484375","Yes"
"5","227.03811374203804","66.36124113662694","4.818327131607862","-0.30958565804365407","0.012939453125","0.0146484375","0.01123046875","1500","0.00022345254424608994","60","0","0.00022345254424608994","0.00022345254424608994","4:0.005966049787549332;6:0.0049941828751107475","4:660;6:660","0.012939453125","Yes"
"6","206.39569506897806","153.67875380057376","4.757636676588961","-0.30931899513970895","0.04150390625","0.0498046875","0.033203125","1500","0.0003032097317846239","60","0","0.0003032097317846239","0.0003032097317846239","7:0.0054242122299733575","7:660","0.04150390625","Yes"
"7","376.2664722237894","165.8105780780493","4.531785888568546","-0.3153085977514802","0.0257568359375","0.02880859375","0.022705078125","1500","0.00012411756662231868","60","0","0.00012411756662231868","0.00012411756662231868","","","0.0257568359375","Yes"
"8","282.3644666345773","76.45428359957975","4.770571062497688","-0.3107240604358965","0.0540771484375","0.08349609375","0.024658203125","1500","0.0003711850139814926","60","0","0.0003711850139814926","0.0003711850139814926","9:0.006081008354934914;7:0.005343227952754354","9:660;7:660","0.0540771484375","Yes"
"9","360.09520185583034","111.17765729981772","4.862482326943698","-0.3088384973978332","0.0133056640625","0.006591796875","0.02001953125","1500","0.00021864778516834333","60","0","0.00021864778516834333","0.00021864778516834333","","","0.0133056640625","Yes"
"10","154.59512988769592","87.86854006069197","4.775618490489631","-0.3102561917352623","0.0101318359375","0.0107421875","0.009521484375","1500","0.0003511033744650018","60","0","0.0003511033744650018","0.0003511033744650018","9:0.015094810728256275","9:660","0.0101318359375","Yes"
"11","440.25058847665167","53.553585181393764","4.670103902346569","-0.31065439833944936","0.02001953125","0.017578125","0.0224609375","1500","0.0002710335287768643","60","0","0.0002710335287768643","0.0002710335287768643","10:0.008253852984688309;12:0.01221003412284935","10:660;12:660","0.02001953125","Yes"
"12","473.02038322670114","24.686917979954163","4.578368251536483","-0.3092994184637879","0.02978515625","0.022705078125","0.036865234375","1500","0.0005818053868274372","60","0","0.0005818053868274372","0.0005818053868274372","17:0.015789101184982446","17:660","0.02978515625","Yes"
"13","413.61560566209096","128.75682370799845","4.623044152674177","-0.3132306393256634","0.01904296875","0.014892578125","0.023193359375","1500","0.00030269819528734707","60","0","0.00030269819528734707","0.00030269819528734707","12:0.012743219251858118","12:660","0.01904296875","Yes"
"14","181.81216648429228","154.68814204873584","4.788644246646608","-0.30900343434313965","0.0206298828125","0.021240234375","0.02001953125","1500","0.00022738807653540128","60","0","0.00022738807653540128","0.00022738807653540128","0:0.006179616320981213","0:660","0.0206298828125","Yes"
"15","442.2201579607895","100.74137180867571","4.7002148206000545","-0.3120030136653","0.053466796875","0.043212890625","0.063720703125","1500","0.00021129324378961112","60","0","0.00021129324378961112","0.00021129324378961112","22:0.011235744900983474","22:660","0.053466796875","Yes"
"16","340.5944821999608","316.16423854136923","4.610816682647734","-0.3138385279742742","0.0234375","0.0205078125","0.0263671875","1500","0.00011715524062634144","60","0","0.00011715524062634144","0.00011715524062634144","8:0.00636510945982427","8:660","0.0234375","Yes"
"17","218.82713355428618","81.4658183854789","4.78960693088982","-0.309639823236787","0.019775390625","0.01611328125","0.0234375","1500","0.00030306028781290563","60","0","0.00030306028781290563","0.00030306028781290563","30:0.010660666178442219","30:660","0.019775390625","Yes"
"18","404.3163240918512","41.989129088019894","4.916841297949083","-0.30823139413664785","0.01611328125","0.0126953125","0.01953125","1500","0.00015548088922057147","60","0","0.00015548088922057147","0.00015548088922057147","19:0.016359263595513873;14:0.004749724858673338","19:660;14:660","0.01611328125","Yes"
"19","260.5371904216851","21.645927953860344","4.7114830134199215","-0.3060263319182738","0.03173828125","0.029296875","0.0390625","1500","0.0007510588544787719","60","0","0.0007510588544787719","0.0007510588544787719","20:0.023105023238994465","20:660","0.03173828125","Yes"
"20","149.10959190529667","62.19950104784703","4.7512166336966635","-0.31065479909444627","0.032958984375","0.031982421875","0.033935546875","1500","0.0005420528849179945","60","0","0.0005420528849179945","0.0005420528849179945","","","0.032958984375","Yes"
"21","48.53294866890692","37.32938604103112","4.643118790871821","-0.3118989078141984","0.03271484375","0.03857421875","0.02685546875","1500","0.0007788671952145033","60","0","0.0007788671952145033","0.0007788671952145033","20:0.015987446786944526","20:660","0.03271484375","Yes"
"22","397.00405644038676","254.774604749333","4.893327355735982","-0.3085260924821569","0.0672607421875","0.01416015625","0.120361328125","1500","0.00022867244107282615","60","0","0.00022867244107282615","0.00022867244107282615","21:0.015136499955118343;23:0.0052452507355778555","21:660;23:660","0.0672607421875","Yes"
"23","452.27460174495366","142.08346991646587","4.673912424558545","-0.31124151331845984","0.0322265625","0.0302734375","0.0341796875","1500","0.00011818614000350099","60","0","0.00011818614000350099","0.00011818614000350099","","","0.0322265625","Yes"
"24","178.24699826369576","138.86497968391555","4.733281596698897","-0.31079041514477307","0.02978515625","0.027587890625","0.031982421875","1500","0.00031275398580015947","60","0","0.00031275398580015947","0.00031275398580015947","23:0.005464306632067928","23:660","0.02978515625","Yes"
"25","222.4770202261215","40.054642559020564","4.809792293906015","-0.310553819024601","0.043212890625","0.0556640625","0.03076171875","1500","0.0002837706675620645","60","0","0.0002837706675620645","0.0002837706675620645","24:0.007265513142738933;26:0.006920593105718159","24:660;26:660","0.043212890625","Yes"
"26","281.2253565292469","126.54589359625813","4.712955749673516","-0.3109596371888392","0.0150146484375","0.01708984375","0.012939453125","1500","0.00013549820423884828","60","0","0.00013549820423884828","0.00013549820423884828","16:0.003463432074195777","16:660","0.0150146484375","Yes"
