"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","Gate length (ns)","CZ error","RZZ error","MEASURE error","Operational"
"0","53.10447134429558","51.88678657823437","0.01806640625","0.02783203125","0.00830078125","1560","0.001733362180197634","24","0.001733362180197634","0","0.001733362180197634","0.001733362180197634","1:68","1:0.007939694266389297","1:0.011474625674989747","0.01806640625","Yes"
"1","211.57256042064148","223.1034605962857","0.0242919921875","0.03564453125","0.012939453125","1560","0.0003688788197153148","24","0.0003688788197153148","0","0.0003688788197153148","0.0003688788197153148","2:68;0:68","2:0.0026850499142564155;0:0.007939694266389297","2:0.0017845268790924185;0:0.011474625674989747","0.0242919921875","Yes"
"2","128.59697392923047","122.01301328236131","0.0057373046875","0.0078125","0.003662109375","1560","0.00017854276546034952","24","0.00017854276546034952","0","0.00017854276546034952","0.00017854276546034952","1:68;3:68","1:0.0026850499142564155;3:0.0027546329652048396","1:0.0017845268790924185;3:0.002801327586457042","0.0057373046875","Yes"
"3","233.87490531698435","278.7295565202519","0.039794921875","0.0458984375","0.03369140625","1560","0.00017767388599840552","24","0.00017767388599840552","0","0.00017767388599840552","0.00017767388599840552","16:68;2:68;4:68","16:0.0031921006552584064;2:0.0027546329652048396;4:0.0028710243569997074","16:0.0024295496000289463;2:0.002801327586457042;4:0.0031725072192475834","0.039794921875","Yes"
"4","156.9041661068277","105.16692129911615","0.0093994140625","0.013916015625","0.0048828125","1560","0.00022561959881603247","24","0.00022561959881603247","0","0.00022561959881603247","0.00022561959881603247","3:68;5:68","3:0.0028710243569997074;5:0.0026491114437831864","3:0.0031725072192475834;5:0.0022758915767361887","0.0093994140625","Yes"
"5","118.70693533167324","105.5966094370808","0.0472412109375","0.05419921875","0.040283203125","1560","0.0003700149352617195","24","0.0003700149352617195","0","0.0003700149352617195","0.0003700149352617195","6:68;4:68","6:0.011493956652594728;4:0.0026491114437831864","6:0.007199176091951753;4:0.0022758915767361887","0.0472412109375","Yes"
"6","192.89694822670418","170.1296581961268","0.0242919921875","0.01904296875","0.029541015625","1560","0.0002915214276570425","24","0.0002915214276570425","0","0.0002915214276570425","0.0002915214276570425","5:68;7:68","5:0.011493956652594728;7:0.0020431665842529367","5:0.007199176091951753;7:0.002368117768132838","0.0242919921875","Yes"
"7","132.2203159930219","40.86967543418141","0.028076171875","0.034912109375","0.021240234375","1560","0.00037604324443715466","24","0.00037604324443715466","0","0.00037604324443715466","0.00037604324443715466","17:68;6:68;8:68","17:0.002291607986340427;6:0.0020431665842529367;8:0.002980624532037457","17:0.0027360846658501525;6:0.002368117768132838;8:0.0033236715724808963","0.028076171875","Yes"
"8","189.13489994897677","36.131005867088334","0.006591796875","0.008056640625","0.005126953125","1560","0.00033660277719495377","24","0.00033660277719495377","0","0.00033660277719495377","0.00033660277719495377","9:68;7:68","9:0.002452534774032733;7:0.002980624532037457","9:0.0023456717674608663;7:0.0033236715724808963","0.006591796875","Yes"
"9","145.73613262353282","20.203915904047822","0.0087890625","0.0107421875","0.0068359375","1560","0.00022140552019397862","24","0.00022140552019397862","0","0.00022140552019397862","0.00022140552019397862","8:68;10:68","8:0.002452534774032733;10:0.0014968542481587355","8:0.0023456717674608663;10:0.0014024795759815523","0.0087890625","Yes"
