"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","MEASURE error","MEASURE_2 error","Operational"
"0","277.483556389592","260.5831567337402","0.0062255859375","0.00830078125","0.004150390625","2280","0.00020398944002356963","32","0.00020398944002356963","0","0.00020398944002356963","0.00020398944002356963","1:0.0032239806844477636","1:68","1:0.0025820814842178186","0.0062255859375","0.017578125","Yes"
"1","257.49870041799784","296.4887800605142","0.1435546875","0.0927734375","0.1943359375","2280","0.00009244790318049684","32","0.00009244790318049684","0","0.00009244790318049684","0.00009244790318049684","2:0.0009408921164096584;0:0.0032239806844477636","2:68;0:68","2:0.0017057288706146256;0:0.0025820814842178186","0.1435546875","0.106201171875","Yes"
"2","303.7363275761268","114.76313436188572","0.0074462890625","0.011474609375","0.00341796875","2280","0.00009497473037637178","32","0.00009497473037637178","0","0.00009497473037637178","0.00009497473037637178","1:0.0009408921164096584;3:0.0012117694089499587","1:68;3:68","1:0.0017057288706146256;3:0.0011485551965327578","0.0074462890625","0.00439453125","Yes"
"3","291.7174718744201","345.45726424897856","0.0054931640625","0.008056640625","0.0029296875","2280","0.00048145642131235144","32","0.00048145642131235144","0","0.00048145642131235144","0.00048145642131235144","16:0.0011324374873878384;2:0.0012117694089499587;4:0.001829097525916118","16:68;2:68;4:68","16:0.0009909172580933878;2:0.0011485551965327578;4:0.0017654786596865424","0.0054931640625","0.00537109375","Yes"
"4","255.64939861118083","55.158611367213744","0.0103759765625","0.01220703125","0.008544921875","2280","0.00030011669337944057","32","0.00030011669337944057","0","0.00030011669337944057","0.00030011669337944057","3:0.001829097525916118;5:0.002332088214249961","3:68;5:68","3:0.0017654786596865424;5:0.0023776800628287353","0.0103759765625","0.016357421875","Yes"
"5","200.3614994630469","71.1213784929592","0.0087890625","0.015869140625","0.001708984375","2280","0.0003881383418062359","32","0.0003881383418062359","0","0.0003881383418062359","0.0003881383418062359","6:0.002455634459468059;4:0.002332088214249961","6:68;4:68","6:0.0026552071262722077;4:0.0023776800628287353","0.0087890625","0.0146484375","Yes"
"6","215.3647816818867","111.0444672429336","0.0118408203125","0.01025390625","0.013427734375","2280","0.00048345569779981764","32","0.00048345569779981764","0","0.00048345569779981764","0.00048345569779981764","5:0.002455634459468059;7:0.006886543825576019","5:68;7:80","5:0.0026552071262722077;7:0.007481663403128613","0.0118408203125","0.010498046875","Yes"
"7","367.77664212578975","85.12006858758507","0.01513671875","0.015869140625","0.014404296875","2280","0.00023340607796631452","32","0.00023340607796631452","0","0.00023340607796631452","0.00023340607796631452","17:0.006116836291750832;6:0.006886543825576019;8:0.00785333401462776","17:68;6:80;8:68","17:0.0041103125730503065;6:0.007481663403128613;8:0.004624559450024324","0.01513671875","0.014404296875","Yes"
"8","262.02071282790894","87.58345257063024","0.00341796875","0.006103515625","0.000732421875","2280","0.00023212296999270624","32","0.00023212296999270624","0","0.00023212296999270624","0.00023212296999270624","9:0.0030978514118944755;7:0.00785333401462776","9:68;7:68","9:0.002314371353333289;7:0.004624559450024324","0.00341796875","0.00390625","Yes"
"9","126.79208969408083","40.57237522771071","0.0069580078125","0.011474609375","0.00244140625","2280","0.0001954500728298171","32","0.0001954500728298171","0","0.0001954500728298171","0.0001954500728298171","8:0.0030978514118944755;10:0.005308598675598963","8:68;10:68","8:0.002314371353333289;10:0.0024830602848291417","0.0069580078125","0.0078125","Yes"
"10","306.3863308159281","18.300595210388774","0.0068359375","0.00634765625","0.005126953125","2280","0.00017434245024280942","32","0.00017434245024280942","0","0.00017434245024280942","0.00017434245024280942","9:0.005308598675598963;11:0.0011390285257321109","9:68;11:68","9:0.0024830602848291417;11:0.0014142747648649978","0.0068359375","0.001220703125","Yes"
"11","313.7300426459191","92.1753281898834","0.0113525390625","0.0087890625","0.013916015625","2280","0.00016436532264041919","32","0.00016436532264041919","0","0.00016436532264041919","0.00016436532264041919","18:0.0015815242495864912;10:0.0011390285257321109;12:0.0009538046846536419","18:68;10:68;12:68","18:0.0015092673412862023;10:0.0014142747648649978;12:0.0009031218230104165","0.0113525390625","0.006591796875","Yes"
"12","274.0680367579033","262.50677196780555","0.029052734375","0.031982421875","0.026123046875","2280","0.00026523484343587273","32","0.00026523484343587273","0","0.00026523484343587273","0.00026523484343587273","13:0.00165440846186371;11:0.0009538046846536419","13:68;11:68","13:0.0019392643763152528;11:0.0009031218230104165","0.029052734375","0.038818359375","Yes"
"13","326.96058560624596","428.6397690875291","0.0059814453125","0.00732421875","0.004638671875","2280","0.0001679975210204337","32","0.0001679975210204337","0","0.0001679975210204337","0.0001679975210204337","12:0.00165440846186371;14:0.0011319983927501887","12:68;14:68","12:0.0019392643763152528;14:0.001506340522057975","0.0059814453125","0.00634765625","Yes"
"14","255.7764185597301","429.6766106317334","0.0225830078125","0.024658203125","0.0205078125","2280","0.0004895704550075874","32","0.0004895704550075874","0","0.0004895704550075874","0.0004895704550075874","15:0.002649036487402334;13:0.0011319983927501887","15:68;13:68","15:0.0032726879611270354;13:0.001506340522057975","0.0225830078125","0.017822265625","Yes"
"15","302.143078049858","303.1306070819277","0.0047607421875","0.005126953125","0.00439453125","2280","0.00013478162885602305","32","0.00013478162885602305","0","0.00013478162885602305","0.00013478162885602305","14:0.002649036487402334;19:0.0017141825606726002","14:68;19:68","14:0.0032726879611270354;19:0.0020470536185758503","0.0047607421875","0.005859375","Yes"
"16","289.15322748158525","229.29876350737922","0.037353515625","0.064208984375","0.010498046875","2280","0.00010199133424749532","32","0.00010199133424749532","0","0.00010199133424749532","0.00010199133424749532","23:0.0011299700456531558;3:0.0011324374873878384","23:68;3:68","23:0.0009717714561696122;3:0.0009909172580933878","0.037353515625","0.020263671875","Yes"
"17","267.8959020803949","105.81858606393943","0.006103515625","0.0087890625","0.00341796875","2280","0.00017562348865947372","32","0.00017562348865947372","0","0.00017562348865947372","0.00017562348865947372","7:0.006116836291750832;27:0.0016584861353668157","7:68;27:68","7:0.0041103125730503065;27:0.001337743721998852","0.006103515625","0.006591796875","Yes"
"18","133.97584770875963","106.00983883368373","0.00927734375","0.017822265625","0.000732421875","2280","0.00041260208947299437","32","0.00041260208947299437","0","0.00041260208947299437","0.00041260208947299437","11:0.0015815242495864912;31:0.0038126279442916577","11:68;31:68","11:0.0015092673412862023;31:0.0026933414399178124","0.00927734375","0.003662109375","Yes"
"19","273.04904242452113","214.39576003783796","0.013671875","0.01318359375","0.01416015625","2280","0.00027235701855003324","32","0.00027235701855003324","0","0.00027235701855003324","0.00027235701855003324","35:0.0008213287405148262;15:0.0017141825606726002","35:68;15:68","35:0.0010974860174605694;15:0.0020470536185758503","0.013671875","0.01318359375","Yes"
