"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","MEASURE error","Operational"
"0","197.04192735579431","36.89791538407339","0.0045166015625","0.006591796875","0.00244140625","2584","0.00046155623261494777","36","0.00046155623261494777","0","0.00046155623261494777","0.00046155623261494777","1:0.0023620576440607777","1:68","1:0.00262787210124954","0.0045166015625","Yes"
"1","164.9777106264744","164.00307898858568","0.009765625","0.009521484375","0.010009765625","2584","0.0001723206664027934","36","0.0001723206664027934","0","0.0001723206664027934","0.0001723206664027934","2:0.0011141445689112628;0:0.0023620576440607777","2:68;0:68","2:0.0011345571985264535;0:0.00262787210124954","0.009765625","Yes"
"2","320.8351209259294","107.29926726400765","0.00537109375","0.00830078125","0.00244140625","2584","0.0001391916911790401","36","0.0001391916911790401","0","0.0001391916911790401","0.0001391916911790401","1:0.0011141445689112628;3:0.0012652713066035604","1:68;3:68","1:0.0011345571985264535;3:0.001262082928637498","0.00537109375","Yes"
"3","23.753750863901406","31.48805762120559","0.118408203125","0.0751953125","0.16162109375","2584","0.00046094289948277054","36","0.00046094289948277054","0","0.00046094289948277054","0.00046094289948277054","16:0.0014983524862748898;2:0.0012652713066035604;4:0.0016023700608395752","16:68;2:68;4:80","16:0.0020126429073813734;2:0.001262082928637498;4:0.0017672408830236297","0.118408203125","Yes"
"4","211.90362186609892","165.48577561293177","0.01123046875","0.016357421875","0.006103515625","2584","0.00028743980496186296","36","0.00028743980496186296","0","0.00028743980496186296","0.00028743980496186296","3:0.0016023700608395752;5:0.0019251219721703183","3:80;5:68","3:0.0017672408830236297;5:0.0020837547743400853","0.01123046875","Yes"
"5","259.4568757802744","141.07824010667642","0.0059814453125","0.008056640625","0.00390625","2584","0.0003204648790114814","36","0.0003204648790114814","0","0.0003204648790114814","0.0003204648790114814","6:0.0015910610255161217;4:0.0019251219721703183","6:68;4:68","6:0.0014337019789650851;4:0.0020837547743400853","0.0059814453125","Yes"
"6","386.6519937895879","254.20204419545587","0.0106201171875","0.00927734375","0.011962890625","2584","0.0005010588098573304","36","0.0005010588098573304","0","0.0005010588098573304","0.0005010588098573304","5:0.0015910610255161217;7:0.0011787221345340437","5:68;7:68","5:0.0014337019789650851;7:0.0009797023542529593","0.0106201171875","Yes"
"7","364.8607699877248","117.5417649563849","0.0091552734375","0.01318359375","0.005126953125","2584","0.0001666582943555438","36","0.0001666582943555438","0","0.0001666582943555438","0.0001666582943555438","17:0.0016365915489151284;6:0.0011787221345340437;8:0.002008172960013127","17:68;6:68;8:80","17:0.0035438362995106054;6:0.0009797023542529593;8:0.0017900934194691465","0.0091552734375","Yes"
"8","211.19421369309364","118.74469021266069","0.0111083984375","0.01611328125","0.006103515625","2584","0.00020289990203876514","36","0.00020289990203876514","0","0.00020289990203876514","0.00020289990203876514","9:0.0021794039328041914;7:0.002008172960013127","9:68;7:80","9:0.0013763699780873218;7:0.0017900934194691465","0.0111083984375","Yes"
"9","181.07164762154412","213.17802841208086","0.0113525390625","0.01025390625","0.012451171875","2584","0.00014717874855410618","36","0.00014717874855410618","0","0.00014717874855410618","0.00014717874855410618","8:0.0021794039328041914;10:0.001066871716532164","8:68;10:68","8:0.0013763699780873218;10:0.0011734531870522258","0.0113525390625","Yes"
"10","353.8610626400975","165.99799117267924","0.0050048828125","0.01611328125","0.005615234375","2584","0.0002605305735582322","36","0.0002605305735582322","0","0.0002605305735582322","0.0002605305735582322","9:0.001066871716532164;11:0.001671171436984531","9:68;11:68","9:0.0011734531870522258;11:0.001990992984021306","0.0050048828125","Yes"
"11","339.8144343038144","185.13483047586257","0.0189208984375","0.01708984375","0.020751953125","2584","0.00036496734227601174","36","0.00036496734227601174","0","0.00036496734227601174","0.00036496734227601174","18:0.0016641131983754498;10:0.001671171436984531;12:0.0011748588687971462","18:68;10:68;12:68","18:0.0021982606067770527;10:0.001990992984021306;12:0.001517675851128275","0.0189208984375","Yes"
"12","293.86221998098944","133.0269118292573","0.00830078125","0.0068359375","0.009765625","2584","0.0001519078342776677","36","0.0001519078342776677","0","0.0001519078342776677","0.0001519078342776677","13:0.001449970549512375;11:0.0011748588687971462","13:80;11:68","13:0.0016684415357941795;11:0.001517675851128275","0.00830078125","Yes"
"13","206.17933812096788","235.2066065313739","0.0087890625","0.0078125","0.009765625","2584","0.0002354677778064941","36","0.0002354677778064941","0","0.0002354677778064941","0.0002354677778064941","12:0.001449970549512375;14:0.0012027235269891356","12:80;14:80","12:0.0016684415357941795;14:0.0014654159171118564","0.0087890625","Yes"
"14","378.0472968267053","81.49918287752281","0.0028076171875","0.00439453125","0.001220703125","2584","0.00016554893259342776","36","0.00016554893259342776","0","0.00016554893259342776","0.00016554893259342776","15:0.0013069842576712287;13:0.0012027235269891356","15:68;13:80","15:0.0015677279399596011;13:0.0014654159171118564","0.0028076171875","Yes"
"15","333.06370879441835","33.01198558913968","0.0057373046875","0.00732421875","0.004150390625","2584","0.0002474642047889168","36","0.0002474642047889168","0","0.0002474642047889168","0.0002474642047889168","14:0.0013069842576712287;19:0.0017936648802711619","14:68;19:68","14:0.0015677279399596011;19:0.0011416141904684318","0.0057373046875","Yes"
"16","117.26826276361764","95.57910322894286","0.006591796875","0.01025390625","0.0029296875","2584","0.0006106988665646521","36","0.0006106988665646521","0","0.0006106988665646521","0.0006106988665646521","23:0.0023488455671600017;3:0.0014983524862748898","23:68;3:68","23:0.0023226799016139166;3:0.0020126429073813734","0.006591796875","Yes"
"17","209.62981558934342","8.803498919693162","0.0035400390625","0.005859375","0.001220703125","2584","0.0008430474910330701","36","0.0008430474910330701","0","0.0008430474910330701","0.0008430474910330701","7:0.0016365915489151284;27:0.0018914641413576294","7:68;27:68","7:0.0035438362995106054;27:0.0023929452250492644","0.0035400390625","Yes"
"18","115.14266792934735","59.317191476016376","0.0172119140625","0.021484375","0.012939453125","2584","0.0003757439099234163","36","0.0003757439099234163","0","0.0003757439099234163","0.0003757439099234163","11:0.0016641131983754498;31:0.002733570669647356","11:68;31:68","11:0.0021982606067770527;31:0.002143365448741219","0.0172119140625","Yes"
"19","70.68063032172098","52.348301073892976","0.0057373046875","0.00830078125","0.003173828125","2584","0.0002445006917449526","36","0.0002445006917449526","0","0.0002445006917449526","0.0002445006917449526","35:0.001577910973110136;15:0.0017936648802711619","35:80;15:68","35:0.0019928605981514858;15:0.0011416141904684318","0.0057373046875","Yes"
"20","119.93772905685695","123.69708295782375","0.005615234375","0.008544921875","0.002685546875","2584","0.0003743120444822914","36","0.0003743120444822914","0","0.0003743120444822914","0.0003743120444822914","21:0.0026936035840120776","21:68","21:0.014720871435013827","0.005615234375","Yes"
"21","282.7803391247522","190.41422235637498","0.0240478515625","0.018310546875","0.02978515625","2584","0.00045713077147100116","36","0.00045713077147100116","0","0.00045713077147100116","0.00045713077147100116","36:0.0025930625069436886;20:0.0026936035840120776;22:0.002556593841958832","36:68;20:68;22:68","36:0.002625828689609977;20:0.014720871435013827;22:0.001374210547231608","0.0240478515625","Yes"
"22","207.44496819366614","35.83067565859701","0.010498046875","0.012451171875","0.008544921875","2584","0.0009252019302838862","36","0.0009252019302838862","0","0.0009252019302838862","0.0009252019302838862","23:0.0030265203765756366;21:0.002556593841958832","23:68;21:68","23:0.0019092545453841536;21:0.001374210547231608","0.010498046875","Yes"
"23","343.1572454596858","176.36474538414768","0.0360107421875","0.033935546875","0.0380859375","2584","0.00017039666287126156","36","0.00017039666287126156","0","0.00017039666287126156","0.00017039666287126156","22:0.0030265203765756366;24:0.004581085500704352;16:0.0023488455671600017","22:68;24:68;16:68","22:0.0019092545453841536;24:0.0026711871533915965;16:0.0023226799016139166","0.0360107421875","Yes"
"24","160.40772556122306","42.82371466985052","0.0289306640625","0.027587890625","0.0302734375","2584","0.00032128338245986625","36","0.00032128338245986625","0","0.00032128338245986625","0.00032128338245986625","23:0.004581085500704352;25:0.003948517061442697","23:68;25:68","23:0.0026711871533915965;25:0.003776034970278147","0.0289306640625","Yes"
"25","139.73607116138342","50.01630793431843","0.0589599609375","0.0390625","0.078857421875","2584","0.00032671182173688127","36","0.00032671182173688127","0","0.00032671182173688127","0.00032671182173688127","24:0.003948517061442697;26:0.012589792491206897;37:0.0042838450348181845","24:68;26:68;37:68","24:0.003776034970278147;26:0.014637330467576454;37:0.00568362051020771","0.0589599609375","Yes"
"26","7.218075419803065","8.80782166147523","0.09375","0.1005859375","0.0869140625","2584","0.0030187570273066274","36","0.0030187570273066274","0","0.0030187570273066274","0.0030187570273066274","25:0.012589792491206897;27:0.01328866513949642","25:68;27:68","25:0.014637330467576454;27:0.012390862166948152","0.09375","Yes"
"27","165.24863727237698","151.16409468159077","0.0830078125","0.01171875","0.112060546875","2584","0.00022689274051647035","36","0.00022689274051647035","0","0.00022689274051647035","0.00022689274051647035","26:0.01328866513949642;28:0.001438373529357856;17:0.0018914641413576294","26:68;28:68;17:68","26:0.012390862166948152;28:0.001771453401961387;17:0.0023929452250492644","0.0830078125","Yes"
"28","141.54331547435348","101.56147941818044","0.0081787109375","0.0107421875","0.005615234375","2584","0.0003219499903922178","36","0.0003219499903922178","0","0.0003219499903922178","0.0003219499903922178","27:0.001438373529357856;29:0.0028299950600053914","27:68;29:68","27:0.001771453401961387;29:0.002530808435598969","0.0081787109375","Yes"
"29","116.9230490987092","123.8032902403761","0.02294921875","0.02392578125","0.02197265625","2584","0.0003754159001570461","36","0.0003754159001570461","0","0.0003754159001570461","0.0003754159001570461","38:0.002667849767593794;28:0.0028299950600053914;30:0.0025500956352410287","38:68;28:68;30:68","38:0.0018222467327934921;28:0.002530808435598969;30:0.002569318269012605","0.02294921875","Yes"
"30","166.05225551558658","30.69718183387792","0.017578125","0.032470703125","0.002685546875","2584","0.0005157716977297838","36","0.0005157716977297838","0","0.0005157716977297838","0.0005157716977297838","31:0.0039155127114465504;29:0.0025500956352410287","31:68;29:68","31:0.002636647922793167;29:0.002569318269012605","0.017578125","Yes"
"31","141.05163214979004","50.34962486959372","0.0379638671875","0.027587890625","0.04833984375","2584","0.0003850119477231034","36","0.0003850119477231034","0","0.0003850119477231034","0.0003850119477231034","30:0.0039155127114465504;32:0.003792863394009166;18:0.002733570669647356","30:68;32:68;18:68","30:0.002636647922793167;32:0.002292859680350201;18:0.002143365448741219","0.0379638671875","Yes"
"32","305.6062134277365","49.65563471382226","0.0067138671875","0.010986328125","0.00244140625","2584","0.00032201585513068413","36","0.00032201585513068413","0","0.00032201585513068413","0.00032201585513068413","31:0.003792863394009166;33:0.002366347364104876","31:68;33:68","31:0.002292859680350201;33:0.001734987000035687","0.0067138671875","Yes"
"33","109.0051669355045","73.4194381170405","0.0137939453125","0.0146484375","0.012939453125","2584","0.000635869726282967","36","0.000635869726282967","0","0.000635869726282967","0.000635869726282967","39:0.0017562086301622926;32:0.002366347364104876;34:0.0016379423359472733","39:68;32:68;34:68","32:0.001734987000035687;34:0.002401914470383043","0.0137939453125","Yes"
"34","167.43724978602876","132.51324358339772","0.00830078125","0.009765625","0.0068359375","2584","0.0005742073953615694","36","0.0005742073953615694","0","0.0005742073953615694","0.0005742073953615694","33:0.0016379423359472733;35:0.0017785029709988243","33:68;35:68","33:0.002401914470383043;35:0.0016640802525896004","0.00830078125","Yes"
"35","353.8911831606832","419.87994430040965","0.0115966796875","0.01611328125","0.007080078125","2584","0.0001758916835506734","36","0.0001758916835506734","0","0.0001758916835506734","0.0001758916835506734","19:0.001577910973110136;34:0.0017785029709988243","19:80;34:68","19:0.0019928605981514858;34:0.0016640802525896004","0.0115966796875","Yes"
"36","198.31168756254442","67.23719057033063","0.1715087890625","0.06103515625","0.281982421875","2584","0.004223283452204313","36","0.004223283452204313","0","0.004223283452204313","0.004223283452204313","41:0.003522670444356557;21:0.0025930625069436886","41:68;21:68","41:0.017297914057098934;21:0.002625828689609977","0.1715087890625","Yes"
"37","203.7690448834451","21.221306813415666","0.045166015625","0.033935546875","0.056396484375","2584","0.0006918733107118851","36","0.0006918733107118851","0","0.0006918733107118851","0.0006918733107118851","45:0.005251915383895578;25:0.0042838450348181845","45:68;25:68","45:0.004251783174908846;25:0.00568362051020771","0.045166015625","Yes"
"38","112.89703953347932","82.1033127666837","0.005615234375","0.010498046875","0.000732421875","2584","0.0007061604737393669","36","0.0007061604737393669","0","0.0007061604737393669","0.0007061604737393669","29:0.002667849767593794;49:0.001979368286883082","29:68;49:68","29:0.0018222467327934921;49:0.0020928948346237986","0.005615234375","Yes"
"39","125.54520560494913","125.45277355834145","0.0245361328125","0.03662109375","0.012451171875","2584","0.0002983569295045343","36","0.0002983569295045343","0","0.0002983569295045343","0.0002983569295045343","53:0.001665447171341039;33:0.0017562086301622926","53:68;33:68","53:0.0016711680274145713","0.0245361328125","Yes"
"40","180.9027858672222","120.8376142987368","0.0308837890625","0.025634765625","0.0361328125","2584","0.000301517543551652","36","0.000301517543551652","0","0.000301517543551652","0.000301517543551652","41:0.06748926092508697","41:68","41:0.08834465495426308","0.0308837890625","Yes"
"41","215.94791699598557","44.783786655224446","0.031982421875","0.03271484375","0.03125","2584","0.00046018687029131705","36","0.00046018687029131705","0","0.00046018687029131705","0.00046018687029131705","40:0.06748926092508697;42:0.004298315153003107;36:0.003522670444356557","40:68;42:68;36:68","40:0.08834465495426308;42:0.017953767238981122;36:0.017297914057098934","0.031982421875","Yes"
"42","225.78787877974665","102.98126378538046","0.02001953125","0.022705078125","0.017333984375","2584","0.0003581221666271005","36","0.0003581221666271005","0","0.0003581221666271005","0.0003581221666271005","41:0.004298315153003107;43:0.004116458314200544","41:68;43:68","41:0.017953767238981122;43:0.0038614128922158653","0.02001953125","Yes"
"43","163.4493604529725","52.128034302508645","0.0303955078125","0.04833984375","0.012451171875","2584","0.00034861582274136216","36","0.00034861582274136216","0","0.00034861582274136216","0.00034861582274136216","42:0.004116458314200544;56:0.002184897499770605;44:0.00225727351610025","42:68;56:68;44:68","42:0.0038614128922158653;56:0.003649253679127995;44:0.0027948457582888386","0.0303955078125","Yes"
"44","228.52106304058572","185.45631642778028","0.0137939453125","0.005859375","0.002685546875","2584","0.0003792574013141181","36","0.0003792574013141181","0","0.0003792574013141181","0.0003792574013141181","45:0.002132407452495738;43:0.00225727351610025","45:68;43:68","45:0.0028727753915282483;43:0.0027948457582888386","0.0137939453125","Yes"
"45","82.18756627568888","73.35210695985009","0.0177001953125","0.01611328125","0.019287109375","2584","0.0003722775999549603","36","0.0003722775999549603","0","0.0003722775999549603","0.0003722775999549603","44:0.002132407452495738;46:0.003555638761697011;37:0.005251915383895578","44:68;46:68;37:68","44:0.0028727753915282483;46:0.00239863745850577;37:0.004251783174908846","0.0177001953125","Yes"
