"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","MEASURE error","Operational"
"0","470.3909506651648","525.391229760407","0.0107421875","0.012451171875","0.009033203125","2400","0.00015356911543834434","32","0.00015356911543834434","0","0.00015356911543834434","0.00015356911543834434","1:0.0014851167587485725;10:0.002596220939526328","1:128;10:128","0.0107421875","Yes"
"1","223.52043266314644","240.93133934830053","0.0157470703125","0.021484375","0.010009765625","2400","0.00007836978623591236","32","0.00007836978623591236","0","0.00007836978623591236","0.00007836978623591236","2:0.0016253905607702956;11:0.00575119607872443;0:0.0014851167587485725","2:128;11:128;0:128","0.0157470703125","Yes"
"2","345.2486239017887","278.595682307805","0.0177001953125","0.025146484375","0.01025390625","2400","0.0000927838428060478","32","0.0000927838428060478","0","0.0000927838428060478","0.0000927838428060478","1:0.0016253905607702956;3:0.001735411188637015;12:0.0026008772310758266","1:128;3:128;12:148","0.0177001953125","Yes"
"3","319.55222268234377","332.42574050559034","0.0147705078125","0.0205078125","0.01171875","2400","0.00019965867152562094","32","0.00019965867152562094","0","0.00019965867152562094","0.00019965867152562094","13:0.001510489179673502;2:0.001735411188637015;4:0.0015490013836303163","13:128;2:128;4:128","0.0147705078125","Yes"
"4","518.4592795012339","425.52663001214285","0.01513671875","0.022216796875","0.008056640625","2400","0.00011169089486073644","32","0.00011169089486073644","0","0.00011169089486073644","0.00011169089486073644","3:0.0015490013836303163;5:0.0013696947918568902;14:0.0024198460778115383","3:128;5:148;14:228","0.01513671875","Yes"
"5","316.1400030922478","423.2769076662635","0.0135498046875","0.0146484375","0.012451171875","2400","0.00019425365134801692","32","0.00019425365134801692","0","0.00019425365134801692","0.00019425365134801692","6:0.006354785082339831;4:0.0013696947918568902;15:0.0020318580419325383","6:128;4:148;15:128","0.0135498046875","Yes"
"6","6.317430580380794","12.8026904686686","0.0430908203125","0.0810546875","0.005126953125","2400","0.0029985026311829376","32","0.0029985026311829376","0","0.0029985026311829376","0.0029985026311829376","5:0.006354785082339831;7:0.013621921565585698;16:0.03262773372358216","5:128;7:128;16:488","0.0430908203125","Yes"
"7","61.290431989207214","107.48520498347577","0.0263671875","0.0380859375","0.0146484375","2400","0.0002942292749835957","32","0.0002942292749835957","0","0.0002942292749835957","0.0002942292749835957","17:0.003157875365238011;6:0.013621921565585698;8:0.002316287838140474","17:128;6:128;8:128","0.0263671875","Yes"
"8","260.5701555473873","266.6743195182782","0.02978515625","0.038818359375","0.020751953125","2400","0.00014072426965298611","32","0.00014072426965298611","0","0.00014072426965298611","0.00014072426965298611","9:0.004158478312554809;18:0.0016508159409437118;7:0.002316287838140474","9:128;18:128;7:128","0.02978515625","Yes"
"9","346.5820723607084","447.10730449822046","0.0107421875","0.01123046875","0.01025390625","2400","0.00016167205072589166","32","0.00016167205072589166","0","0.00016167205072589166","0.00016167205072589166","8:0.004158478312554809;19:0.0012564002029673005","8:128;19:128","0.0107421875","Yes"
"10","255.64622079183408","380.47655438055483","0.014892578125","0.0166015625","0.01318359375","2400","0.00026162791446877887","32","0.00026162791446877887","0","0.00026162791446877887","0.00026162791446877887","20:0.0018133650496885145;11:0.006935056802192668;0:0.002596220939526328","20:128;11:128;0:128","0.014892578125","Yes"
"11","34.140783627253455","50.13553955865142","0.1202392578125","0.219482421875","0.02099609375","2400","0.003983717882991676","32","0.003983717882991676","0","0.003983717882991676","0.003983717882991676","1:0.00575119607872443;10:0.006935056802192668;12:0.009124080377595933;21:0.006399154297537735","1:128;10:128;12:128;21:128","0.1202392578125","Yes"
"12","440.88658826870994","412.0000962505267","0.0225830078125","0.028564453125","0.0166015625","2400","0.0002458495683623769","32","0.0002458495683623769","0","0.0002458495683623769","0.0002458495683623769","13:0.003707461156733205;22:0.0029433262562420515;2:0.0026008772310758266;11:0.009124080377595933","13:148;22:208;2:148;11:128","0.0225830078125","Yes"
"13","393.6481681843647","290.55865083720784","0.0135498046875","0.0146484375","0.012451171875","2400","0.00031056446573195473","32","0.00031056446573195473","0","0.00031056446573195473","0.00031056446573195473","3:0.001510489179673502;12:0.003707461156733205;14:0.00275902594557223;23:0.0029647198665117835","3:128;12:148;14:268;23:228","0.0135498046875","Yes"
"14","345.9596796770289","296.6812010962721","0.0084228515625","0.01318359375","0.003662109375","2400","0.00021535533252027976","32","0.00021535533252027976","0","0.00021535533252027976","0.00021535533252027976","15:0.002453212302936797;24:0.0026620642726868926;13:0.00275902594557223;4:0.0024198460778115383","15:128;24:228;13:268;4:228","0.0084228515625","Yes"
"15","438.6868147240199","281.60145151080695","0.012939453125","0.017333984375","0.008544921875","2400","0.00021347507454444795","32","0.00021347507454444795","0","0.00021347507454444795","0.00021347507454444795","14:0.002453212302936797;16:0.002081047066930214;25:0.0039696190884906946;5:0.0020318580419325383","14:128;16:148;25:288;5:128","0.012939453125","Yes"
"16","327.6625023077015","243.28739417003297","0.0074462890625","0.01025390625","0.004638671875","2400","0.00017363768223699428","32","0.00017363768223699428","0","0.00017363768223699428","0.00017363768223699428","15:0.002081047066930214;17:0.002365798261369595;26:0.003698202291194108;6:0.03262773372358216","15:148;17:128;26:248;6:488","0.0074462890625","Yes"
"17","376.83533565479473","263.09697199175986","0.0130615234375","0.018310546875","0.0078125","2400","0.0003058067360387295","32","0.0003058067360387295","0","0.0003058067360387295","0.0003058067360387295","7:0.003157875365238011;16:0.002365798261369595;18:0.0015239270769950575;27:0.002327179327817619","7:128;16:128;18:128;27:128","0.0130615234375","Yes"
"18","402.40072130304225","365.5924037522138","0.015625","0.0205078125","0.0107421875","2400","0.00021987052824095436","32","0.00021987052824095436","0","0.00021987052824095436","0.00021987052824095436","8:0.0016508159409437118;19:0.001777513823237209;28:0.003715045197684369;17:0.0015239270769950575","8:128;19:128;28:88;17:128","0.015625","Yes"
