"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","MEASURE error","MEASURE_2 error","Operational"
"0","56.1665163926737","85.5756940236355","0.0072021484375","0.012451171875","0.001953125","2584","0.0003850283500286788","32","0.0003850283500286788","0","0.0003850283500286788","0.0003850283500286788","1:0.003102191982739727","1:88","1:0.0028973371103120926","0.0072021484375","0.003173828125","Yes"
"1","292.3806795882346","319.2838323226608","0.0037841796875","0.0068359375","0.000732421875","2584","0.00035952900699349924","32","0.00035952900699349924","0","0.00035952900699349924","0.00035952900699349924","2:0.002175007984181243;0:0.003102191982739727","2:88;0:88","2:0.0015976807775434088;0:0.0028973371103120926","0.0037841796875","0.01416015625","Yes"
"2","324.0923042702308","281.88411899460846","0.0035400390625","0.005615234375","0.00146484375","2584","0.00012039732469219776","32","0.00012039732469219776","0","0.00012039732469219776","0.00012039732469219776","1:0.002175007984181243;3:0.0010690934226821325","1:88;3:88","1:0.0015976807775434088;3:0.0009532346251120705","0.0035400390625","0.010009765625","Yes"
"3","277.13532451632943","238.07060660538053","0.00341796875","0.004150390625","0.002685546875","2584","0.00010605401665824568","32","0.00010605401665824568","0","0.00010605401665824568","0.00010605401665824568","16:0.001243555606934843;2:0.0010690934226821325;4:0.0009605404296031961","16:88;2:88;4:88","16:0.0014361896955488174;2:0.0009532346251120705;4:0.0008596518174513457","0.00341796875","0.0087890625","Yes"
"4","239.82888179464408","224.97752429322352","0.0029296875","0.005615234375","0.000244140625","2584","0.0003549960686900612","32","0.0003549960686900612","0","0.0003549960686900612","0.0003549960686900612","3:0.0009605404296031961;5:0.0015564356289378412","3:88;5:88","3:0.0008596518174513457;5:0.0018703736607966481","0.0029296875","0.00537109375","Yes"
"5","413.1847857978664","402.95776233015647","0.0045166015625","0.006103515625","0.0029296875","2584","0.00015476816784728613","32","0.00015476816784728613","0","0.00015476816784728613","0.00015476816784728613","6:0.002082260314017592;4:0.0015564356289378412","6:88;4:88","6:0.0016467650066326334;4:0.0018703736607966481","0.0045166015625","0.003662109375","Yes"
"6","156.26911438655725","172.4929734758737","0.006591796875","0.009033203125","0.004150390625","2584","0.00020248018384441614","32","0.00020248018384441614","0","0.00020248018384441614","0.00020248018384441614","5:0.002082260314017592;7:0.00144613987510403","5:88;7:88","5:0.0016467650066326334;7:0.0014883144030496676","0.006591796875","0.0185546875","Yes"
"7","357.42483033133453","305.81964158440627","0.00537109375","0.0087890625","0.001953125","2584","0.00040962441210061734","32","0.00040962441210061734","0","0.00040962441210061734","0.00040962441210061734","17:0.003104910515027759;6:0.00144613987510403;8:0.0017229838329994585","17:88;6:88;8:88","17:0.002853149003340938;6:0.0014883144030496676;8:0.01337620005628079","0.00537109375","0.001953125","Yes"
"8","304.09092116927","392.2539639460808","0.0169677734375","0.0029296875","0.031005859375","2584","0.0003280606264425412","32","0.0003280606264425412","0","0.0003280606264425412","0.0003280606264425412","9:0.0033981526198246237;7:0.0017229838329994585","9:88;7:88","9:0.11662812728167377;7:0.01337620005628079","0.0169677734375","0.01220703125","Yes"
"9","343.6987294375583","397.2490898141958","0.0908203125","0.141845703125","0.039794921875","2584","0.0005505335656825638","32","0.0005505335656825638","0","0.0005505335656825638","0.0005505335656825638","8:0.0033981526198246237;10:0.0020908038667983297","8:88;10:88","8:0.11662812728167377;10:0.0024209560145838638","0.0908203125","0.033203125","Yes"
"10","166.33636123277856","212.3852544148099","0.003662109375","0.00341796875","0.00048828125","2584","0.00016043192118268254","32","0.00016043192118268254","0","0.00016043192118268254","0.00016043192118268254","9:0.0020908038667983297;11:0.0014253614755788957","9:88;11:88","9:0.0024209560145838638;11:0.001932045006812877","0.003662109375","0.00537109375","Yes"
"11","191.14776139376838","250.61326401848336","0.0054931640625","0.009765625","0.001220703125","2584","0.00026295719743972724","32","0.00026295719743972724","0","0.00026295719743972724","0.00026295719743972724","18:0.0016956512842233318;10:0.0014253614755788957;12:0.0014734435908310417","18:88;10:88;12:88","18:0.001732339900878399;10:0.001932045006812877;12:0.0014675426564483285","0.0054931640625","0.006591796875","Yes"
"12","303.1288158696822","264.7909353691949","0.0067138671875","0.011962890625","0.00146484375","2584","0.00016300543000126737","32","0.00016300543000126737","0","0.00016300543000126737","0.00016300543000126737","13:0.002211233747812902;11:0.0014734435908310417","13:88;11:88","13:0.0021906733289376312;11:0.0014675426564483285","0.0067138671875","0.003173828125","Yes"
"13","269.26161752006703","288.0208717958888","0.0052490234375","0.0068359375","0.003662109375","2584","0.00016221211471094177","32","0.00016221211471094177","0","0.00016221211471094177","0.00016221211471094177","12:0.002211233747812902;14:0.001164884894810092","12:88;14:88","12:0.0021906733289376312;14:0.0014875425366805972","0.0052490234375","0.014404296875","Yes"
"14","209.3556179895634","304.9698857050218","0.0074462890625","0.006103515625","0.0087890625","2584","0.00022460024874834921","32","0.00022460024874834921","0","0.00022460024874834921","0.00022460024874834921","15:0.0022109768957121467;13:0.001164884894810092","15:88;13:88","15:0.002064919402721105;13:0.0014875425366805972","0.0074462890625","0.00537109375","Yes"
"15","341.30020020007197","336.95853673558764","0.01611328125","0.01025390625","0.02197265625","2584","0.0001993380324747285","32","0.0001993380324747285","0","0.0001993380324747285","0.0001993380324747285","14:0.0022109768957121467;19:0.001292023554941235","14:88;19:88","14:0.002064919402721105;19:0.0018241258546766725","0.01611328125","0.011474609375","Yes"
"16","228.9810373264283","291.5812324881949","0.004638671875","0.00732421875","0.001953125","2584","0.00014184741200926775","32","0.00014184741200926775","0","0.00014184741200926775","0.00014184741200926775","23:0.004437800110745516;3:0.001243555606934843","23:88;3:88","3:0.0014361896955488174","0.004638671875","0.004150390625","Yes"
"17","337.7216767953281","277.6020958347354","0.0048828125","0.009033203125","0.000732421875","2584","0.00022624383215338388","32","0.00022624383215338388","0","0.00022624383215338388","0.00022624383215338388","7:0.003104910515027759;27:0.0013616947438182814","7:88;27:88","7:0.002853149003340938;27:0.0013870227824739345","0.0048828125","0.002685546875","Yes"
"18","356.9740927267639","440.6029317526666","0.00341796875","0.00634765625","0.00048828125","2584","0.0001842206184662875","32","0.0001842206184662875","0","0.0001842206184662875","0.0001842206184662875","11:0.0016956512842233318;31:0.057955440025280774","11:88;31:88","11:0.001732339900878399;31:0.07940235981140861","0.00341796875","0.003662109375","Yes"
"19","210.32934363897851","280.4975372681373","0.013916015625","0.01611328125","0.01171875","2584","0.00023566263944665452","32","0.00023566263944665452","0","0.00023566263944665452","0.00023566263944665452","35:0.0015307664504689567;15:0.001292023554941235","35:88;15:88","35:0.0012062349753079182;15:0.0018241258546766725","0.013916015625","0.010498046875","Yes"
"20","133.28700217252867","228.05542638344153","0.0025634765625","0.004150390625","0.0009765625","2584","0.00023322956794610963","32","0.00023322956794610963","0","0.00023322956794610963","0.00023322956794610963","21:0.0015423708949517945","21:88","21:0.0015911186600995608","0.0025634765625","0.0048828125","Yes"
"21","144.71559554387673","155.1181878366424","0.021484375","0.016845703125","0.026123046875","2584","0.00012963749901781374","32","0.00012963749901781374","0","0.00012963749901781374","0.00012963749901781374","36:0.008230406290165138;20:0.0015423708949517945;22:0.0013999198641194144","36:88;20:88;22:88","36:0.010434488969251865;20:0.0015911186600995608;22:0.0015626893023231447","0.021484375","0.00732421875","Yes"
"22","164.40947154692591","216.01091623383547","0.0023193359375","0.004150390625","0.00048828125","2584","0.00013692005378802838","32","0.00013692005378802838","0","0.00013692005378802838","0.00013692005378802838","23:0.003070702334008746;21:0.0013999198641194144","23:88;21:88","23:0.002508140167572892;21:0.0015626893023231447","0.0023193359375","0.001953125","Yes"
"23","419.7505145251143","319.9859314825079","0.0780029296875","0.05224609375","0.103759765625","2584","0.0008150536320120713","32","0.0008150536320120713","0","0.0008150536320120713","0.0008150536320120713","22:0.003070702334008746;24:0.0032335090675740252;16:0.004437800110745516","22:88;24:88;16:88","22:0.002508140167572892","0.0780029296875","0.053466796875","Yes"
"24","166.50815198659708","188.71160541938704","0.0030517578125","0.0048828125","0.001220703125","2584","0.0003690150027542617","32","0.0003690150027542617","0","0.0003690150027542617","0.0003690150027542617","23:0.0032335090675740252;25:0.0029187416141998324","23:88;25:88","25:0.002029968960872125","0.0030517578125","0.00244140625","Yes"
"25","239.92576929805512","221.9707295202241","0.0047607421875","0.007568359375","0.001953125","2584","0.00016170083289749183","32","0.00016170083289749183","0","0.00016170083289749183","0.00016170083289749183","24:0.0029187416141998324;26:0.0697433189800025;37:0.0030439522403975516","24:88;26:88;37:88","24:0.002029968960872125;26:0.04254625586333452;37:0.002496591849622559","0.0047607421875","0.003662109375","Yes"
"26","180.0363795512432","221.68511897512286","0.0242919921875","0.046875","0.001708984375","2584","0.0003306353800318623","32","0.0003306353800318623","0","0.0003306353800318623","0.0003306353800318623","25:0.0697433189800025;27:0.0012283947308174836","25:88;27:88","25:0.04254625586333452;27:0.001487621486540247","0.0242919921875","0.001708984375","Yes"
"27","226.61484765544418","215.42029682046433","0.0040283203125","0.0048828125","0.0009765625","2584","0.00010619086036216011","32","0.00010619086036216011","0","0.00010619086036216011","0.00010619086036216011","26:0.0012283947308174836;28:0.0014363006536693423;17:0.0013616947438182814","26:88;28:88;17:88","26:0.001487621486540247;28:0.0013631485915474861;17:0.0013870227824739345","0.0040283203125","0.00439453125","Yes"
"28","118.52961124423491","133.04466832857133","0.0028076171875","0.0048828125","0.000732421875","2584","0.00016677578329771727","32","0.00016677578329771727","0","0.00016677578329771727","0.00016677578329771727","27:0.0014363006536693423;29:0.002091019402750499","27:88;29:88","27:0.0013631485915474861;29:0.0018313497977323345","0.0028076171875","0.001708984375","Yes"
"29","322.0265942155687","288.448681891985","0.0028076171875","0.003173828125","0.00244140625","2584","0.00008835430609410277","32","0.00008835430609410277","0","0.00008835430609410277","0.00008835430609410277","38:0.0015592601657621052;28:0.002091019402750499;30:0.00122916608671364","38:88;28:88;30:88","38:0.0009734320996266088;28:0.0018313497977323345;30:0.0010499913106948588","0.0028076171875","0.00146484375","Yes"
"30","218.15951130562945","181.82214543487714","0.0054931640625","0.00537109375","0.005615234375","2584","0.00015338411942172943","32","0.00015338411942172943","0","0.00015338411942172943","0.00015338411942172943","31:0.13720922873071068;29:0.00122916608671364","31:88;29:88","31:0.03459232467176113;29:0.0010499913106948588","0.0054931640625","0.00390625","Yes"
"31","17.325943348368767","31.157522638546745","0.014404296875","0.028076171875","0.000732421875","2584","0.0014923008095429633","32","0.0014923008095429633","0","0.0014923008095429633","0.0014923008095429633","30:0.13720922873071068;18:0.057955440025280774","30:88;32:88;18:88","30:0.03459232467176113;18:0.07940235981140861","0.014404296875","0.009765625","Yes"
"32","322.4567304299982","391.3531882838792","0.0308837890625","0.0302734375","0.031494140625","2584","0.00015834819984418829","32","0.00015834819984418829","0","0.00015834819984418829","0.00015834819984418829","33:0.0034542181210992784","31:88;33:88","33:0.00522153556180352","0.0308837890625","0.052001953125","Yes"
"33","274.6582694122314","236.0802065917312","0.0064697265625","0.006591796875","0.00634765625","2584","0.00008302248626471727","32","0.00008302248626471727","0","0.00008302248626471727","0.00008302248626471727","39:0.0013196806593119281;32:0.0034542181210992784;34:0.004350518262618425","39:88;32:88;34:88","39:0.0011898149536030134;32:0.00522153556180352;34:0.006175813793016294","0.0064697265625","0.0048828125","Yes"
"34","265.2196274884842","281.57949508494926","0.0025634765625","0.004638671875","0.00048828125","2584","0.00017023136152804715","32","0.00017023136152804715","0","0.00017023136152804715","0.00017023136152804715","33:0.004350518262618425;35:0.005660627998764767","33:88;35:88","33:0.006175813793016294;35:0.0033010944533311826","0.0025634765625","0.00244140625","Yes"
"35","266.83504281742415","285.02369584711965","0.0064697265625","0.007080078125","0.005859375","2584","0.00016299879432283003","32","0.00016299879432283003","0","0.00016299879432283003","0.00016299879432283003","19:0.0015307664504689567;34:0.005660627998764767","19:88;34:88","19:0.0012062349753079182;34:0.0033010944533311826","0.0064697265625","0.00341796875","Yes"
"36","3.5630252355652305","14.926988605122101","0.0408935546875","0.0771484375","0.004638671875","2584","0.001729932677539991","32","0.001729932677539991","0","0.001729932677539991","0.001729932677539991","41:0.007578665789193362;21:0.008230406290165138","41:88;21:88","41:0.010422229732044319;21:0.010434488969251865","0.0408935546875","0.016845703125","Yes"
"37","207.7391930766994","388.4893486180223","0.003173828125","0.00634765625","0","2584","0.00018654517572223815","32","0.00018654517572223815","0","0.00018654517572223815","0.00018654517572223815","45:0.0014068075106806743;25:0.0030439522403975516","45:88;25:88","45:0.001145774572027275;25:0.002496591849622559","0.003173828125","0.001708984375","Yes"
"38","280.893826623335","336.98469412332224","0.00244140625","0.004150390625","0.000732421875","2584","0.000130393742316856","32","0.000130393742316856","0","0.000130393742316856","0.000130393742316856","29:0.0015592601657621052;49:0.0017657896083046465","29:88;49:88","29:0.0009734320996266088;49:0.00272532846226492","0.00244140625","0.004150390625","Yes"
"39","205.40729635048757","250.42926582886378","0.00537109375","0.00927734375","0.00146484375","2584","0.0001452200286755341","32","0.0001452200286755341","0","0.0001452200286755341","0.0001452200286755341","53:0.001186773104670108;33:0.0013196806593119281","53:88;33:88","53:0.0009269206145692821;33:0.0011898149536030134","0.00537109375","0.001708984375","Yes"
"40","251.0275467715513","341.8004996857276","0.0029296875","0.004638671875","0.001220703125","2584","0.00014574105067370136","32","0.00014574105067370136","0","0.00014574105067370136","0.00014574105067370136","41:0.00228046245331634","41:88","41:0.018353888132239565","0.0029296875","0.002197265625","Yes"
"41","362.99542308202444","417.8427514215782","0.004638671875","0.006591796875","0.002685546875","2584","0.00019790845081424398","32","0.00019790845081424398","0","0.00019790845081424398","0.00019790845081424398","40:0.00228046245331634;42:0.0012605147756350465;36:0.007578665789193362","40:88;42:88;36:88","40:0.018353888132239565;42:0.0013359576743793011;36:0.010422229732044319","0.004638671875","0.004150390625","Yes"
"42","317.42767866964255","357.4100928466701","0.00146484375","0.00146484375","0.00146484375","2584","0.00022849292353821076","32","0.00022849292353821076","0","0.00022849292353821076","0.00022849292353821076","41:0.0012605147756350465;43:0.0017037733085525086","41:88;43:88","41:0.0013359576743793011;43:0.001324660180199888","0.00146484375","0.00341796875","Yes"
"43","302.3430847379577","383.7879932013742","0.00634765625","0.005859375","0.0068359375","2584","0.0002149995106425582","32","0.0002149995106425582","0","0.0002149995106425582","0.0002149995106425582","42:0.0017037733085525086;56:0.006168514341064746;44:0.0013182797429067972","42:88;56:88;44:88","42:0.001324660180199888;56:0.009922297510250755;44:0.0015104367375485261","0.00634765625","0.00732421875","Yes"
"44","365.34114999162597","456.95124279806447","0.006591796875","0.00732421875","0.004638671875","2584","0.00016348741244529542","32","0.00016348741244529542","0","0.00016348741244529542","0.00016348741244529542","45:0.0009125145099027621;43:0.0013182797429067972","45:88;43:88","45:0.0011522984328084518;43:0.0015104367375485261","0.006591796875","0.00244140625","Yes"
"45","300.997422922478","339.5175713133776","0.0032958984375","0.00390625","0.002685546875","2584","0.00011058433056507771","32","0.00011058433056507771","0","0.00011058433056507771","0.00011058433056507771","44:0.0009125145099027621;46:0.0010135002633778478;37:0.0014068075106806743","44:88;46:88;37:88","44:0.0011522984328084518;46:0.0009176168524804573;37:0.001145774572027275","0.0032958984375","0.005126953125","Yes"
"46","333.0017977830056","411.8159270621561","0.0238037109375","0.040771484375","0.0068359375","2584","0.00017827244136781097","32","0.00017827244136781097","0","0.00017827244136781097","0.00017827244136781097","45:0.0010135002633778478;47:0.0009924448056438384","45:88;47:88","45:0.0009176168524804573;47:0.0010620848811400962","0.0238037109375","0.002685546875","Yes"
"47","371.1687945130863","340.2308603629514","0.004638671875","0.0078125","0.00146484375","2584","0.00034860045539165084","32","0.00034860045539165084","0","0.00034860045539165084","0.00034860045539165084","48:0.0019275334967188695;57:0.003274926268026529;46:0.0009924448056438384","48:88;57:88;46:88","48:0.0016491961202533822;57:0.003140933417444508;46:0.0010620848811400962","0.004638671875","0.003173828125","Yes"
"48","183.09589169528553","118.44552363351451","0.002685546875","0.00341796875","0.001953125","2584","0.000279146763241286","32","0.000279146763241286","0","0.000279146763241286","0.000279146763241286","47:0.0019275334967188695;49:0.0015692562507864938","47:88;49:88","47:0.0016491961202533822;49:0.002691492990140737","0.002685546875","0.001953125","Yes"
"49","293.945082675193","195.69021151576828","0.0020751953125","0.0029296875","0.001220703125","2584","0.0002085899184243657","32","0.0002085899184243657","0","0.0002085899184243657","0.0002085899184243657","48:0.0015692562507864938;50:0.00228619018173698;38:0.0017657896083046465","48:88;50:88;38:88","48:0.002691492990140737;50:0.0023114170955317315;38:0.00272532846226492","0.0020751953125","0.002685546875","Yes"
"50","301.79993517176564","226.88122567089977","0.0023193359375","0.002685546875","0.001953125","2584","0.00012703366806357432","32","0.00012703366806357432","0","0.00012703366806357432","0.00012703366806357432","49:0.00228619018173698;51:0.0032910430550493197","49:88;51:88","49:0.0023114170955317315;51:0.001171434796807369","0.0023193359375","0.001953125","Yes"
"51","282.86643079959714","200.0254313448457","0.002197265625","0.003173828125","0.001220703125","2584","0.00018224937977854414","32","0.00018224937977854414","0","0.00018224937977854414","0.00018224937977854414","50:0.0032910430550493197;52:0.015535730230892275;58:0.0013785577704321927","50:88;52:88;58:88","50:0.001171434796807369;52:0.012388862265966583;58:0.0013383958632286197","0.002197265625","0.00439453125","Yes"
"52","217.34315762470933","256.5882437600765","0.007568359375","0.01318359375","0.001953125","2584","0.000530117110783921","32","0.000530117110783921","0","0.000530117110783921","0.000530117110783921","51:0.015535730230892275;53:0.005103580871137214","51:88;53:88","51:0.012388862265966583;53:0.0068656008545522895","0.007568359375","0.003662109375","Yes"
"53","331.0525604166439","368.41254159726395","0.0057373046875","0.007568359375","0.00390625","2584","0.00015180971401609032","32","0.00015180971401609032","0","0.00015180971401609032","0.00015180971401609032","39:0.001186773104670108;52:0.005103580871137214;54:0.0013269971647253687","39:88;52:88;54:88","39:0.0009269206145692821;52:0.0068656008545522895;54:0.0022440676804028614","0.0057373046875","0.005859375","Yes"
"54","315.14187842138074","463.70947630397524","0.002197265625","0.003173828125","0.001220703125","2584","0.00021164063238090337","32","0.00021164063238090337","0","0.00021164063238090337","0.00021164063238090337","53:0.0013269971647253687;55:0.001058910510506994","53:88;55:88","53:0.0022440676804028614;55:0.001169502366724251","0.002197265625","0.037353515625","Yes"
"55","329.298191276686","399.498501773957","0.0018310546875","0.00244140625","0.001220703125","2584","0.0001532175319279802","32","0.0001532175319279802","0","0.0001532175319279802","0.0001532175319279802","59:0.001138828498318728;54:0.001058910510506994","59:88;54:88","59:0.0012858871146184392;54:0.001169502366724251","0.0018310546875","0.001220703125","Yes"
"56","229.11012292223103","264.6518927844216","0.01318359375","0.02001953125","0.00634765625","2584","0.0002489923712972747","32","0.0002489923712972747","0","0.0002489923712972747","0.0002489923712972747","43:0.006168514341064746","63:88;43:88","43:0.009922297510250755","0.01318359375","0.005615234375","Yes"
"57","45.101500241638824","78.46082796073821","0.01025390625","0.019775390625","0.000732421875","2584","0.000477291338639536","32","0.000477291338639536","0","0.000477291338639536","0.000477291338639536","47:0.003274926268026529;67:0.0036465130470179075","47:88;67:88","47:0.003140933417444508;67:0.0029593469928690386","0.01025390625","0.010009765625","Yes"
"58","272.1920558291772","181.69910442060382","0.01123046875","0.0205078125","0.001953125","2584","0.00025527093811961323","32","0.00025527093811961323","0","0.00025527093811961323","0.00025527093811961323","71:0.0011865663722268605;51:0.0013785577704321927","71:88;51:88","71:0.0012348803553390852;51:0.0013383958632286197","0.01123046875","0.001708984375","Yes"
"59","287.2704013514963","342.0742919203067","0.0035400390625","0.00439453125","0.002685546875","2584","0.00025930825763797793","32","0.00025930825763797793","0","0.00025930825763797793","0.00025930825763797793","55:0.001138828498318728;75:0.0012612181780059795","55:88;75:88","55:0.0012858871146184392;75:0.0009724171165154671","0.0035400390625","0.00146484375","Yes"
"60","239.05453173923587","359.4123872848124","0.0028076171875","0.004150390625","0.00146484375","2584","0.00017806964405756143","32","0.00017806964405756143","0","0.00017806964405756143","0.00017806964405756143","61:0.0022448038117881264","61:88","61:0.0018122793963933348","0.0028076171875","0.001220703125","Yes"
"61","280.0444540458022","297.6325160751834","0.0035400390625","0.00244140625","0.002197265625","2584","0.0001252061483266402","32","0.0001252061483266402","0","0.0001252061483266402","0.0001252061483266402","76:0.0014859926429812986;60:0.0022448038117881264;62:0.00166456443395252","76:88;60:88;62:88","76:0.0018593218777817333;60:0.0018122793963933348;62:0.002173439407768901","0.0035400390625","0.006591796875","Yes"
"62","252.19898075155612","293.3546795598005","0.0057373046875","0.010498046875","0.0009765625","2584","0.00008228703668313097","32","0.00008228703668313097","0","0.00008228703668313097","0.00008228703668313097","61:0.00166456443395252;63:0.001832798061457197","61:88;63:88","61:0.002173439407768901;63:0.0010606972916015756","0.0057373046875","0.00244140625","Yes"
"63","165.01193956341183","191.1202060947934","0.011474609375","0.017822265625","0.005126953125","2584","0.00006378571817303643","32","0.00006378571817303643","0","0.00006378571817303643","0.00006378571817303643","62:0.001832798061457197;64:0.0018771079733636564","56:88;62:88;64:88","62:0.0010606972916015756;64:0.0011233702958986236","0.011474609375","0.00537109375","Yes"
"64","321.3215882977304","432.8451160455958","0.0040283203125","0.005615234375","0.00244140625","2584","0.00007353377047559678","32","0.00007353377047559678","0","0.00007353377047559678","0.00007353377047559678","65:0.0012277752905208439;63:0.0018771079733636564","65:88;63:88","65:0.0017265218454077524;63:0.0011233702958986236","0.0040283203125","0.00341796875","Yes"
"65","181.1140208861738","242.6521537793967","0.00341796875","0.005859375","0.0009765625","2584","0.0003124046388055212","32","0.0003124046388055212","0","0.0003124046388055212","0.0003124046388055212","64:0.0012277752905208439;66:0.0012724552497301034;77:0.0014496282732883448","64:88;66:88;77:88","64:0.0017265218454077524;66:0.0011883719820675875;77:0.0037116851396394868","0.00341796875","0.002685546875","Yes"
