"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","ECR error","Gate length (ns)","MEASURE error","Operational"
"0","348.5643560489289","327.9501271008097","4.832160274523856","-0.30860091520604865","0.0184326171875","0.014892578125","0.02197265625","1600","0.0004142695972917201","60","0","0.0004142695972917201","0.0004142695972917201","14:0.0078376025768708","14:660","0.0184326171875","Yes"
"1","519.8163281849138","181.8175401242469","4.734910832235386","-0.3106735526140353","0.099853515625","0.05859375","0.14111328125","1600","0.00023219843017595709","60","0","0.00023219843017595709","0.00023219843017595709","0:0.004096844044530007","0:660","0.099853515625","Yes"
"2","220.82643275842065","170.57041307602566","4.859776978242106","-0.30815586785193605","0.0201416015625","0.015625","0.02001953125","1600","0.00016996093094286759","60","0","0.00016996093094286759","0.00016996093094286759","1:0.00467042533369838;3:0.0051769468117681405","1:660;3:660","0.0201416015625","Yes"
"3","236.45499576981507","100.44520019061596","4.680072932203213","-0.3117956042789839","0.010498046875","0.01025390625","0.0107421875","1600","0.0002725632034272708","60","0","0.0002725632034272708","0.0002725632034272708","4:0.015305874800194547","4:660","0.010498046875","Yes"
"4","297.9868235217781","138.4034750254296","4.8475466145800015","-0.3089581979409952","0.0189208984375","0.01611328125","0.021728515625","1600","0.00017420308605798103","60","0","0.00017420308605798103","0.00017420308605798103","5:0.009776575292206269","5:660","0.0189208984375","Yes"
"5","260.8693863805036","107.9814613894895","4.717283007518952","-0.310577093532681","0.038330078125","0.035400390625","0.041259765625","1600","0.00040930670202271433","60","0","0.00040930670202271433","0.00040930670202271433","","","0.038330078125","Yes"
"6","433.02756758014146","109.18842587631848","4.637523946329637","-0.3106205490386331","0.0361328125","0.03857421875","0.03369140625","1600","0.0002071406016814428","60","0","0.0002071406016814428","0.0002071406016814428","5:0.004927718533179776;7:0.004472256374144834","5:660;7:660","0.0361328125","Yes"
"7","303.80819539785483","33.37177083325157","4.755165716744335","-0.30909078313021016","0.0106201171875","0.01171875","0.009521484375","1600","0.00033858412874899195","60","0","0.00033858412874899195","0.00033858412874899195","8:0.00680795286213734","8:660","0.0106201171875","Yes"
"8","339.9950449786175","49.90936791503068","4.8498075466150095","-0.3089940151149966","0.0762939453125","0.018310546875","0.13427734375","1600","0.0002115228676214567","60","0","0.0002115228676214567","0.0002115228676214567","16:0.011222167126717225","16:660","0.0762939453125","Yes"
"9","375.0777804382155","41.82337642757602","4.593941847901888","-0.31335701694782153","0.124267578125","0.108154296875","0.140380859375","1600","0.00017604728594641583","60","0","0.00017604728594641583","0.00017604728594641583","8:0.01058884826152226;10:0.005983082692320035","8:660;10:660","0.124267578125","Yes"
